                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    506567153 |    498436601 |    500519859 |    494495715
  Cycles                           |  17530389500 |  17530389500 |  17530389500 |  17530389500
  IPC                              |         0.03 |         0.03 |         0.03 |         0.03
  Time (ns)                        |   6742457500 |   6742457500 |   6742457500 |   6742457500
  Idle time (ns)                   |         -121 |         -118 |          -60 |         -125
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     93425290 |     92075908 |     92421690 |     91421771
  num incorrect                    |      2523043 |      2462560 |      2478230 |      2433799
  misprediction rate               |        2.63% |        2.60% |        2.61% |        2.59%
  mpki                             |         4.98 |         4.94 |         4.95 |         4.92
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     51134914 |     50354720 |     50554503 |     49976282
    num misses                     |           22 |           22 |           22 |           16
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    224029337 |    220443210 |    221361288 |    218703250
    num misses                     |     20845495 |     21204923 |     21519524 |     21323950
    miss rate                      |        9.30% |        9.62% |        9.72% |        9.75%
    mpki                           |        41.15 |        42.54 |        42.99 |        43.12
  L2 TLB                           |              |              |              |             
    num accesses                   |     20845517 |     21204945 |     21519546 |     21323966
    num misses                     |     18699131 |     19522219 |     19855101 |     19824449
    miss rate                      |       89.70% |       92.06% |       92.27% |       92.97%
    mpki                           |        36.91 |        39.17 |        39.67 |        40.09
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    158329023 |    189491439 |    168879041 |    183268834
    num cache misses               |     32020207 |     32665403 |     32655145 |     31831806
    miss rate                      |       20.22% |       17.24% |       19.34% |       17.37%
    mpki                           |        64.04 |        65.33 |        65.31 |        63.66
DRAM summary                       |              |              |              |             
  num dram accesses                |    548893542 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    100127152 |     99993066 |    101281083 |    100346734
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |      5755149 |      5738478 |      5737112 |      5650784
