                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    496373520 |    504159789 |    502911709 |    496560905
  Cycles                           |  19147950380 |  19147950380 |  19147950380 |  19147950380
  IPC                              |         0.03 |         0.03 |         0.03 |         0.03
  Time (ns)                        |   7364596300 |   7364596300 |   7364596300 |   7364596300
  Idle time (ns)                   |         -144 |          -55 |         -150 |         -625
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     95725865 |     97296523 |     97044486 |     95763645
  num incorrect                    |      2432930 |      2455939 |      2452420 |      2433488
  misprediction rate               |        2.48% |        2.46% |        2.46% |        2.48%
  mpki                             |         4.90 |         4.87 |         4.88 |         4.90
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     61028461 |     61965190 |     61815072 |     61051002
    num misses                     |           14 |           14 |           17 |           17
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    212157794 |    215473533 |    214942586 |    212237635
    num misses                     |     33846399 |     33888765 |     34706509 |     34272066
    miss rate                      |       15.95% |       15.73% |       16.15% |       16.15%
    mpki                           |        68.19 |        67.22 |        69.01 |        69.02
  L2 TLB                           |              |              |              |             
    num accesses                   |     33846413 |     33888779 |     34706526 |     34272083
    num misses                     |     32966756 |     32936906 |     33834394 |     33392555
    miss rate                      |       97.40% |       97.19% |       97.49% |       97.43%
    mpki                           |        66.42 |        65.33 |        67.28 |        67.25
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    182140177 |    172884388 |    196448965 |    202958834
    num cache misses               |     44968977 |     44852094 |     45031773 |     45111471
    miss rate                      |       24.69% |       25.94% |       22.92% |       22.23%
    mpki                           |        89.94 |        89.70 |        90.06 |        90.22
DRAM summary                       |              |              |              |             
  num dram accesses                |    624550579 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    126764005 |    128096272 |    128734578 |    127102034
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |      2680349 |      2863971 |      2759555 |      2725446
