                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   500560830 |   508729990 |   507666650 |   483054111
  Cycles                           |  5105204780 |  5105204780 |  5105204780 |  5105204780
  IPC                              |        0.10 |        0.10 |        0.10 |        0.09
  Time (ns)                        |  1963540300 |  1963540300 |  1963540300 |  1963540300
  Idle time (ns)                   |        -160 |         -17 |        -163 |        -100
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   167884446 |   170619718 |   170263779 |   162018084
  num incorrect                    |    20809312 |    21153718 |    21108826 |    20074637
  misprediction rate               |      11.03% |      11.03% |      11.03% |      11.02%
  mpki                             |       41.57 |       41.58 |       41.58 |       41.56
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    80535387 |    81891847 |    81715483 |    77652994
    num misses                     |           2 |           2 |           2 |           2
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   173789989 |   176618751 |   176250473 |   167724900
    num misses                     |     3537859 |     3628332 |     3552037 |     3426606
    miss rate                      |       2.04% |       2.05% |       2.02% |       2.04%
    mpki                           |        7.07 |        7.13 |        7.00 |        7.09
  L2 TLB                           |             |             |             |            
    num accesses                   |     3537861 |     3628334 |     3552039 |     3426608
    num misses                     |     3400940 |     3508530 |     3388070 |     3292696
    miss rate                      |      96.13% |      96.70% |      95.38% |      96.09%
    mpki                           |        6.79 |        6.90 |        6.67 |        6.82
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    58746619 |    59093195 |    59057777 |    50424653
    num cache misses               |     6337087 |     6502674 |     6285233 |     6227110
    miss rate                      |      10.79% |      11.00% |      10.64% |      12.35%
    mpki                           |       12.67 |       13.01 |       12.57 |       12.45
DRAM summary                       |             |             |             |            
  num dram accesses                |   190338619 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    23148360 |    23594206 |    23340745 |    22621727
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |      645772 |      637577 |      624541 |      589928
