                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   474859923 |   504895793 |   516876980 |   503382299
  Cycles                           |  4202932500 |  4202932500 |  4202932500 |  4202932500
  IPC                              |        0.11 |        0.12 |        0.12 |        0.12
  Time (ns)                        |  1616512500 |  1616512500 |  1616512500 |  1616512500
  Idle time (ns)                   |         -43 |        -108 |        -103 |        -131
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    32410566 |    34458045 |    35277292 |    34355415
  num incorrect                    |     1186556 |     1259680 |     1290311 |     1256221
  misprediction rate               |       3.53% |       3.53% |       3.53% |       3.53%
  mpki                             |        2.50 |        2.49 |        2.50 |        2.50
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    47006002 |    49973992 |    51162300 |    49825039
    num misses                     |          28 |          28 |          28 |          28
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   147567715 |   156907416 |   160626163 |   156435887
    num misses                     |     7816004 |     8308629 |     8426072 |     8185763
    miss rate                      |       5.30% |       5.30% |       5.25% |       5.23%
    mpki                           |       16.46 |       16.46 |       16.30 |       16.26
  L2 TLB                           |             |             |             |            
    num accesses                   |     7816032 |     8308657 |     8426100 |     8185791
    num misses                     |     7005231 |     7443475 |     7458630 |     7276222
    miss rate                      |      89.63% |      89.59% |      88.52% |      88.89%
    mpki                           |       14.75 |       14.74 |       14.43 |       14.45
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    69962787 |    70743093 |   102582790 |    91655868
    num cache misses               |     8610932 |     8634091 |     8856671 |     8805191
    miss rate                      |      12.31% |      12.20% |       8.63% |       9.61%
    mpki                           |       17.22 |       17.27 |       17.71 |       17.61
DRAM summary                       |             |             |             |            
  num dram accesses                |   202985889 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    30476668 |    32077607 |    32505629 |    31773585
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |     1559497 |     1619444 |     1638693 |     1623663
