                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    121201201 |    123429319 |    125437607 |    126686344 |    127974196 |    127203041 |    125469964 |    122633123
  Cycles                           |  14158151280 |  14158151280 |  14158151280 |  14158151280 |  14158151280 |  14158151280 |  14158151280 |  14158151280
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   5445442800 |   5445442800 |   5445442800 |   5445442800 |   5445442800 |   5445442800 |   5445442800 |   5445442800
  Idle time (ns)                   |         -156 |         -256 |         -303 |         -169 |         -221 |         -191 |          -31 |         -764
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     22182172 |     22607050 |     22990918 |     23229454 |     23475356 |     23328180 |     22996981 |     22454963
  num incorrect                    |      2026693 |      2075604 |      2119996 |      2147557 |      2176311 |      2159176 |      2120751 |      2058118
  misprediction rate               |        8.37% |        8.41% |        8.44% |        8.46% |        8.48% |        8.47% |        8.44% |        8.40%
  mpki                             |        16.72 |        16.82 |        16.90 |        16.95 |        17.01 |        16.97 |        16.90 |        16.78
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     18109602 |     18463138 |     18782582 |     18981051 |     19185587 |     19063275 |     18787642 |     18336656
    num misses                     |           16 |           22 |           22 |           22 |           22 |           16 |           22 |           22
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     62703192 |     63815516 |     64816683 |     65439295 |     66081150 |     65696624 |     64832853 |     63418392
    num misses                     |      8018141 |      8168822 |      8274659 |      8384902 |      8461920 |      8391454 |      8275615 |      8121815
    miss rate                      |       12.79% |       12.80% |       12.77% |       12.81% |       12.81% |       12.77% |       12.76% |       12.81%
    mpki                           |        66.16 |        66.18 |        65.97 |        66.19 |        66.12 |        65.97 |        65.96 |        66.23
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |      8018157 |      8168844 |      8274681 |      8384924 |      8461942 |      8391470 |      8275637 |      8121837
    num misses                     |      7466485 |      7586177 |      7636281 |      7767903 |      7808696 |      7758035 |      7624189 |      7557830
    miss rate                      |       93.12% |       92.87% |       92.28% |       92.64% |       92.28% |       92.45% |       92.13% |       93.06%
    mpki                           |        61.60 |        61.46 |        60.88 |        61.32 |        61.02 |        60.99 |        60.77 |        61.63
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     55008625 |     56724232 |     44419270 |     64659750 |     72673333 |     68598934 |     42734025 |     72623042
    num cache misses               |     13867284 |     14089308 |     13707585 |     13967889 |     13553362 |     14512076 |     14185250 |     14287469
    miss rate                      |       25.21% |       24.84% |       30.86% |       21.60% |       18.65% |       21.15% |       33.19% |       19.67%
    mpki                           |       110.93 |       112.71 |       109.66 |       111.74 |       108.42 |       116.09 |       113.48 |       114.30
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    353162793 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     30772703 |     31058190 |     31421696 |     32067105 |     32092981 |     31894870 |     31405405 |     31125091
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      3517816 |      3572540 |      3630612 |      3659717 |      3723900 |      3655099 |      3587875 |      3489761
