                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    122634355 |    123629997 |    124168885 |    126373302 |    127333058 |    126419489 |    125856442 |    123629198
  Cycles                           |  15277306200 |  15277306200 |  15277306200 |  15277306200 |  15277306200 |  15277306200 |  15277306200 |  15277306200
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   5875887000 |   5875887000 |   5875887000 |   5875887000 |   5875887000 |   5875887000 |   5875887000 |   5875887000
  Idle time (ns)                   |         -538 |          -81 |         -131 |         -389 |        -1526 |         -100 |         -719 |         -215
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     24787689 |     24995909 |     25108808 |     25570528 |     25771924 |     25580232 |     25462313 |     24995745
  num incorrect                    |      2299872 |      2322214 |      2334164 |      2383477 |      2404716 |      2384459 |      2371831 |      2322193
  misprediction rate               |        8.49% |        8.50% |        8.51% |        8.53% |        8.53% |        8.53% |        8.52% |        8.50%
  mpki                             |        18.75 |        18.78 |        18.80 |        18.86 |        18.89 |        18.86 |        18.85 |        18.78
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     14367259 |     14481394 |     14543180 |     14795587 |     14905463 |     14800884 |     14736417 |     14481302
    num misses                     |           18 |           24 |           18 |           24 |           24 |           24 |           24 |           24
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     56021370 |     56475084 |     56720819 |     57725306 |     58162759 |     57746337 |     57489826 |     56474726
    num misses                     |      9523823 |      9666856 |      9796479 |      9765296 |      9789038 |      9852875 |      9797309 |      9749771
    miss rate                      |       17.00% |       17.12% |       17.27% |       16.92% |       16.83% |       17.06% |       17.04% |       17.26%
    mpki                           |        77.66 |        78.19 |        78.90 |        77.27 |        76.88 |        77.94 |        77.85 |        78.86
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |      9523841 |      9666880 |      9796497 |      9765320 |      9789062 |      9852899 |      9797333 |      9749795
    num misses                     |      8757024 |      8916483 |      9138177 |      8871601 |      8853000 |      9064004 |      9010473 |      9084170
    miss rate                      |       91.95% |       92.24% |       93.28% |       90.85% |       90.44% |       91.99% |       91.97% |       93.17%
    mpki                           |        71.41 |        72.12 |        73.59 |        70.20 |        69.53 |        71.70 |        71.59 |        73.48
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     56598986 |     58676601 |     46710072 |     47623239 |     60198681 |     62045013 |     57444934 |     62250311
    num cache misses               |     16034790 |     16287541 |     17135919 |     16457557 |     16519345 |     16224287 |     16400096 |     16075785
    miss rate                      |       28.33% |       27.76% |       36.69% |       34.56% |       27.44% |       26.15% |       28.55% |       25.82%
    mpki                           |       128.27 |       130.29 |       137.08 |       131.65 |       132.15 |       129.79 |       131.19 |       128.60
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    368551828 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     36073611 |     36480290 |     36753388 |     36896908 |     36817941 |     37281093 |     36830021 |     36534011
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      1307562 |      1342232 |      1325716 |      1340984 |      1337288 |      1333669 |      1339583 |      1338260
