                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    121956166 |    123669997 |    125087273 |    125791014 |    126734363 |    126953886 |    125593271 |    124240520
  Cycles                           |  15586811760 |  15586811760 |  15586811760 |  15586811760 |  15586811760 |  15586811760 |  15586811760 |  15586811760
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   5994927600 |   5994927600 |   5994927600 |   5994927600 |   5994927600 |   5994927600 |   5994927600 |   5994927600
  Idle time (ns)                   |         -366 |           -5 |         -792 |         -145 |         -397 |         -647 |         -101 |         -101
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     26610307 |     26984719 |     27285663 |     27435710 |     27629143 |     27671792 |     27394722 |     27107452
  num incorrect                    |      1693412 |      1718689 |      1741481 |      1752624 |      1768517 |      1772518 |      1749312 |      1727551
  misprediction rate               |        5.98% |        5.99% |        6.00% |        6.00% |        6.02% |        6.02% |        6.00% |        5.99%
  mpki                             |        13.89 |        13.90 |        13.92 |        13.93 |        13.95 |        13.96 |        13.93 |        13.90
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     12945630 |     13124680 |     13272300 |     13345469 |     13442780 |     13465206 |     13325131 |     13184097
    num misses                     |           29 |           29 |           29 |           29 |           29 |           29 |           29 |           29
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     47895865 |     48568969 |     49131829 |     49410853 |     49791202 |     49881696 |     49331475 |     48794474
    num misses                     |      9548224 |      9757544 |      9708636 |      9713428 |      9376694 |      9776757 |      9434898 |      9146309
    miss rate                      |       19.94% |       20.09% |       19.76% |       19.66% |       18.83% |       19.60% |       19.13% |       18.74%
    mpki                           |        78.29 |        78.90 |        77.61 |        77.22 |        73.99 |        77.01 |        75.12 |        73.62
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |      9548253 |      9757573 |      9708665 |      9713457 |      9376723 |      9776786 |      9434927 |      9146338
    num misses                     |      8058346 |      8100345 |      8067201 |      8154554 |      8128336 |      8022231 |      8087467 |      7793161
    miss rate                      |       84.40% |       83.02% |       83.09% |       83.95% |       86.69% |       82.05% |       85.72% |       85.21%
    mpki                           |        66.08 |        65.50 |        64.49 |        64.83 |        64.14 |        63.19 |        64.39 |        62.73
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     51986082 |     48007861 |     37744062 |     63126912 |     63645742 |     57685941 |     64461509 |     58440855
    num cache misses               |     15224809 |     17024378 |     16279821 |     16870121 |     16088269 |     16001143 |     16105942 |     15315041
    miss rate                      |       29.29% |       35.46% |       43.13% |       26.72% |       25.28% |       27.74% |       24.99% |       26.21%
    mpki                           |       121.80 |       136.19 |       130.24 |       134.96 |       128.70 |       128.01 |       128.84 |       122.52
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    356204249 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     34194103 |     34597594 |     34812388 |     35068886 |     35112155 |     35050324 |     34838324 |     34250890
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      3069160 |      3118523 |      3155784 |      3198405 |      3197961 |      3171840 |      3123957 |      3048177
