                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   185473783 |   187600416 |   188373346 |   189392958 |   189220116 |   188475416 |   187009989 |   184474809
  Cycles                           |  4973427680 |  4973427680 |  4973427680 |  4973427680 |  4973427680 |  4973427680 |  4973427680 |  4973427680
  IPC                              |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                        |  1912856800 |  1912856800 |  1912856800 |  1912856800 |  1912856800 |  1912856800 |  1912856800 |  1912856800
  Idle time (ns)                   |        -580 |        -115 |        -117 |        -205 |        -271 |        -133 |         -58 |        -208
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    22517341 |    22805774 |    22910621 |    23048592 |    23025306 |    22924484 |    22725647 |    22382190
  num incorrect                    |      123451 |      136088 |      140729 |      146724 |      145743 |      141352 |      132641 |      117741
  misprediction rate               |       0.55% |       0.59% |       0.61% |       0.63% |       0.63% |       0.61% |       0.58% |       0.52%
  mpki                             |        0.67 |        0.73 |        0.75 |        0.77 |        0.77 |        0.75 |        0.71 |        0.64
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    25130491 |    25470156 |    25593595 |    25756771 |    25729012 |    25609877 |    25375817 |    24970576
    num misses                     |          26 |          26 |          26 |          26 |          26 |          26 |          22 |          26
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    79944061 |    80775201 |    81077253 |    81475814 |    81408194 |    81117125 |    80544482 |    79553402
    num misses                     |      648828 |      668164 |      686803 |      716484 |      732972 |      701182 |      672860 |      625728
    miss rate                      |       0.81% |       0.83% |       0.85% |       0.88% |       0.90% |       0.86% |       0.84% |       0.79%
    mpki                           |        3.50 |        3.56 |        3.65 |        3.78 |        3.87 |        3.72 |        3.60 |        3.39
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |      648854 |      668190 |      686829 |      716510 |      732998 |      701208 |      672882 |      625754
    num misses                     |      629545 |      647533 |      661333 |      694356 |      706917 |      674562 |      652184 |      600568
    miss rate                      |      97.02% |      96.91% |      96.29% |      96.91% |      96.44% |      96.20% |      96.92% |      95.98%
    mpki                           |        3.39 |        3.45 |        3.51 |        3.67 |        3.74 |        3.58 |        3.49 |        3.26
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    62921767 |    42349961 |    27571868 |    53500708 |    38057192 |    52475212 |    41298412 |    50913364
    num cache misses               |      838736 |      839393 |      838967 |      839183 |      839968 |      836821 |      833486 |      839983
    miss rate                      |       1.33% |       1.98% |       3.04% |       1.57% |       2.21% |       1.59% |       2.02% |       1.65%
    mpki                           |        4.47 |        4.48 |        4.47 |        4.48 |        4.48 |        4.46 |        4.45 |        4.48
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   219165391 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     4821293 |     4942003 |     4969845 |     5065717 |     5071259 |     5001250 |     4925203 |     4805863
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4137865 |     4226731 |     4310394 |     4358703 |     4347978 |     4300108 |     4201176 |     4097509
