                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    182809990 |    185768297 |    187357424 |    190108165 |    191292222 |    190984299 |    187876128 |    183849122
  Cycles                           |  22958310700 |  22958310700 |  22958310700 |  22958310700 |  22958310700 |  22958310700 |  22958310700 |  22958310700
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   8830119500 |   8830119500 |   8830119500 |   8830119500 |   8830119500 |   8830119500 |   8830119500 |   8830119500
  Idle time (ns)                   |          -34 |         -629 |         -422 |         -154 |        -1913 |         -748 |         -208 |         -150
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     34077816 |     34654846 |     34965728 |     35504170 |     35735608 |     35675590 |     35067683 |     34280149
  num incorrect                    |      3432602 |      3502700 |      3540115 |      3605223 |      3633477 |      3626109 |      3552459 |      3457411
  misprediction rate               |        9.15% |        9.18% |        9.19% |        9.22% |        9.23% |        9.23% |        9.20% |        9.16%
  mpki                             |        18.78 |        18.86 |        18.89 |        18.96 |        18.99 |        18.99 |        18.91 |        18.81
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     27950734 |     28425049 |     28679908 |     29121274 |     29311118 |     29261810 |     28763413 |     28117215
    num misses                     |           22 |           22 |           22 |           22 |           16 |           16 |           16 |           22
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     93252469 |     94710729 |     95493965 |     96848903 |     97432030 |     97280224 |     95748817 |     93764644
    num misses                     |     12502890 |     12727019 |     12891057 |     13116380 |     13156904 |     13126138 |     12879215 |     12661053
    miss rate                      |       13.41% |       13.44% |       13.50% |       13.54% |       13.50% |       13.49% |       13.45% |       13.50%
    mpki                           |        68.39 |        68.51 |        68.80 |        68.99 |        68.78 |        68.73 |        68.55 |        68.87
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     12502912 |     12727041 |     12891079 |     13116402 |     13156920 |     13126154 |     12879231 |     12661075
    num misses                     |     11557845 |     11766883 |     11997059 |     12202941 |     12207386 |     12148536 |     11874823 |     11842438
    miss rate                      |       92.44% |       92.46% |       93.06% |       93.04% |       92.78% |       92.55% |       92.20% |       93.53%
    mpki                           |        63.22 |        63.34 |        64.03 |        64.19 |        63.82 |        63.61 |        63.21 |        64.41
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     81451406 |     86680123 |     67859216 |     95545459 |    111376073 |    105943553 |     64999283 |    110532793
    num cache misses               |     21954640 |     21991700 |     21460244 |     21511244 |     21668123 |     22781205 |     22351815 |     22185836
    miss rate                      |       26.95% |       25.37% |       31.62% |       22.51% |       19.45% |       21.50% |       34.39% |       20.07%
    mpki                           |       117.09 |       117.29 |       114.45 |       114.72 |       115.56 |       121.50 |       119.21 |       118.32
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    544314645 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     47853507 |     48299126 |     49314669 |     49673506 |     50258705 |     49747466 |     49136285 |     48499794
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      5345472 |      5427105 |      5471611 |      5547845 |      5623498 |      5548987 |      5436535 |      5308021
