                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    183292851 |    185047461 |    187949960 |    190401642 |    190074923 |    190072754 |    187656581 |    185531847
  Cycles                           |  23521527640 |  23521527640 |  23521527640 |  23521527640 |  23521527640 |  23521527640 |  23521527640 |  23521527640
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   9046741400 |   9046741400 |   9046741400 |   9046741400 |   9046741400 |   9046741400 |   9046741400 |   9046741400
  Idle time (ns)                   |         -207 |         -344 |          -32 |         -116 |        -1114 |        -1213 |         -350 |         -401
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     39774912 |     40143168 |     40788556 |     41313697 |     41240924 |     41240443 |     40727671 |     40259088
  num incorrect                    |      2606925 |      2635152 |      2676696 |      2714452 |      2709909 |      2709869 |      2671743 |      2640673
  misprediction rate               |        6.15% |        6.16% |        6.16% |        6.17% |        6.17% |        6.17% |        6.16% |        6.16%
  mpki                             |        14.22 |        14.24 |        14.24 |        14.26 |        14.26 |        14.26 |        14.24 |        14.23
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     19386360 |     19568325 |     19872855 |     20127280 |     20092978 |     20092740 |     19842504 |     19620392
    num misses                     |           29 |           29 |           29 |           29 |           29 |           29 |           29 |           29
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     72428682 |     73130859 |     74263995 |     75237631 |     75110002 |     75109124 |     74146155 |     73313531
    num misses                     |     13571083 |     14360429 |     14203815 |     13907291 |     14496784 |     14328273 |     14701984 |     14567221
    miss rate                      |       18.74% |       19.64% |       19.13% |       18.48% |       19.30% |       19.08% |       19.83% |       19.87%
    mpki                           |        74.04 |        77.60 |        75.57 |        73.04 |        76.27 |        75.38 |        78.35 |        78.52
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     13571112 |     14360458 |     14203844 |     13907320 |     14496813 |     14328302 |     14702013 |     14567250
    num misses                     |     11620895 |     11873156 |     11881284 |     11868284 |     12015244 |     11958165 |     12223393 |     12164649
    miss rate                      |       85.63% |       82.68% |       83.65% |       85.34% |       82.88% |       83.46% |       83.14% |       83.51%
    mpki                           |        63.40 |        64.16 |        63.22 |        62.33 |        63.21 |        62.91 |        65.14 |        65.57
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     77301967 |     70836130 |     56662039 |     95527732 |     96663132 |     87260515 |     97477646 |     88293593
    num cache misses               |     22063700 |     24125181 |     24365697 |     24336016 |     24986649 |     24627938 |     24701756 |     23052214
    miss rate                      |       28.54% |       34.06% |       43.00% |       25.48% |       25.85% |       28.22% |       25.34% |       26.11%
    mpki                           |       117.67 |       128.67 |       129.95 |       129.79 |       133.26 |       131.35 |       131.74 |       122.94
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    533903999 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     50595052 |     51178899 |     51905530 |     52158641 |     52443036 |     52222224 |     52190812 |     51822456
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      4663896 |      4741882 |      4798864 |      4903209 |      4864597 |      4842342 |      4687744 |      4616170
