                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   186500134 |   186919991 |   187156546 |   187255056 |   188350061 |   188528031 |   187882873 |   187433530
  Cycles                           |  4928431300 |  4928431300 |  4928431300 |  4928431300 |  4928431300 |  4928431300 |  4928431300 |  4928431300
  IPC                              |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                        |  1895550500 |  1895550500 |  1895550500 |  1895550500 |  1895550500 |  1895550500 |  1895550500 |  1895550500
  Idle time (ns)                   |        -177 |         -93 |        -616 |        -102 |        -250 |        -570 |       -1584 |       -1733
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    40306863 |    40376588 |    40415883 |    40432248 |    40613971 |    40643468 |    40536428 |    40461864
  num incorrect                    |      149814 |      152816 |      154466 |      155216 |      163249 |      164618 |      159851 |      156553
  misprediction rate               |       0.37% |       0.38% |       0.38% |       0.38% |       0.40% |       0.40% |       0.39% |       0.39%
  mpki                             |        0.80 |        0.82 |        0.83 |        0.83 |        0.87 |        0.87 |        0.85 |        0.84
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    20416484 |    20456813 |    20479556 |    20488997 |    20594141 |    20611211 |    20549273 |    20506112
    num misses                     |          22 |          16 |          22 |          22 |          22 |          16 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    82823827 |    83009283 |    83113897 |    83157255 |    83640677 |    83719128 |    83434368 |    83235921
    num misses                     |     3435893 |     3446011 |     3472107 |     3484962 |     3486618 |     3465051 |     3506408 |     3440249
    miss rate                      |       4.15% |       4.15% |       4.18% |       4.19% |       4.17% |       4.14% |       4.20% |       4.13%
    mpki                           |       18.42 |       18.44 |       18.55 |       18.61 |       18.51 |       18.38 |       18.66 |       18.35
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     3435915 |     3446027 |     3472129 |     3484984 |     3486640 |     3465067 |     3506430 |     3440271
    num misses                     |     3317251 |     3322010 |     3351440 |     3370482 |     3327315 |     3288498 |     3379629 |     3301326
    miss rate                      |      96.55% |      96.40% |      96.52% |      96.71% |      95.43% |      94.90% |      96.38% |      95.96%
    mpki                           |       17.79 |       17.77 |       17.91 |       18.00 |       17.67 |       17.44 |       17.99 |       17.61
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    48676053 |    50513212 |    48649257 |    48857034 |    46533598 |    58512990 |    67620909 |    59709015
    num cache misses               |     3385580 |     3398703 |     3373682 |     3344713 |     3298363 |     3373134 |     3391679 |     3343070
    miss rate                      |       6.96% |       6.73% |       6.93% |       6.85% |       7.09% |       5.76% |       5.02% |       5.60%
    mpki                           |       18.06 |       18.13 |       17.99 |       17.84 |       17.59 |       17.99 |       18.09 |       17.83
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   325047442 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    26408162 |    26483263 |    26572221 |    26619154 |    26688217 |    26639021 |    26715425 |    26509770
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      273669 |      275639 |      278205 |      281186 |      297383 |      309797 |      303011 |      289652
