                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   187333259 |   187253121 |   187448251 |   187923890 |   188064606 |   187842122 |   188064437 |   186099813
  Cycles                           |  6525202060 |  6525202060 |  6525202060 |  6525202060 |  6525202060 |  6525202060 |  6525202060 |  6525202060
  IPC                              |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                        |  2509693100 |  2509693100 |  2509693100 |  2509693100 |  2509693100 |  2509693100 |  2509693100 |  2509693100
  Idle time (ns)                   |        -409 |        -141 |        -283 |       -1805 |        -121 |        -189 |        -715 |          -7
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    14773998 |    14767804 |    14782886 |    14819649 |    14830525 |    14813329 |    14830512 |    14678663
  num incorrect                    |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922
  misprediction rate               |       0.38% |       0.38% |       0.38% |       0.38% |       0.38% |       0.38% |       0.38% |       0.38%
  mpki                             |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30 |        0.30
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |      239997 |      239901 |      240135 |      240705 |      240873 |      240607 |      240873 |      238519
    num misses                     |           1 |           1 |           1 |           1 |           1 |           1 |           1 |           1
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    57138079 |    57113494 |    57173355 |    57319267 |    57362432 |    57294183 |    57362383 |    56759691
    num misses                     |    15038101 |    15016866 |    15043200 |    15104449 |    15085418 |    15092399 |    14996342 |    14984696
    miss rate                      |      26.32% |      26.29% |      26.31% |      26.35% |      26.30% |      26.34% |      26.14% |      26.40%
    mpki                           |       80.27 |       80.20 |       80.25 |       80.38 |       80.21 |       80.35 |       79.74 |       80.52
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |    15038102 |    15016867 |    15043201 |    15104450 |    15085419 |    15092400 |    14996343 |    14984697
    num misses                     |    13047036 |    13151876 |    13325340 |    13415881 |    13267213 |    13300463 |    12992331 |    13230145
    miss rate                      |      86.76% |      87.58% |      88.58% |      88.82% |      87.95% |      88.13% |      86.64% |      88.29%
    mpki                           |       69.65 |       70.24 |       71.09 |       71.39 |       70.55 |       70.81 |       69.08 |       71.09
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    77371523 |    77144219 |    76295606 |    74624045 |    76324199 |    73602842 |    76607165 |    74656032
    num cache misses               |    24931532 |    25053309 |    24997671 |    24602953 |    24765388 |    24660650 |    25047461 |    24809296
    miss rate                      |      32.22% |      32.48% |      32.76% |      32.97% |      32.45% |      33.51% |      32.70% |      33.23%
    mpki                           |      132.97 |      133.62 |      133.32 |      131.21 |      132.08 |      131.52 |      133.58 |      132.31
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   503958655 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    39274368 |    39488747 |    39814764 |    39748067 |    39410373 |    39487092 |    38930544 |    39544747
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2037638 |     2045695 |     2072303 |     2259815 |     2287504 |     2296282 |     2258451 |     2104505
