                                   | Core 0       | Core 1       | Core 2       | Core 3       | Core 4       | Core 5       | Core 6       | Core 7      
  Instructions                     |    184096441 |    187398611 |    189710868 |    192215955 |    191255629 |    187727068 |    185549998 |    182086772
  Cycles                           |  22497858240 |  22497858240 |  22497858240 |  22497858240 |  22497858240 |  22497858240 |  22497858240 |  22497858240
  IPC                              |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01 |         0.01
  Time (ns)                        |   8653022400 |   8653022400 |   8653022400 |   8653022400 |   8653022400 |   8653022400 |   8653022400 |   8653022400
  Idle time (ns)                   |         -354 |          -68 |         -450 |         -284 |         -361 |         -916 |          -65 |         -410
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |              |              |              |              |             
  num correct                      |     33865250 |     34504225 |     34952851 |     35441408 |     35254125 |     34567879 |     34143759 |     33482792
  num incorrect                    |      1248330 |      1265723 |      1277791 |      1289888 |      1285094 |      1267351 |      1256708 |      1236381
  misprediction rate               |        3.56% |        3.54% |        3.53% |        3.51% |        3.52% |        3.54% |        3.55% |        3.56%
  mpki                             |         6.78 |         6.75 |         6.74 |         6.71 |         6.72 |         6.75 |         6.77 |         6.79
TLB Summary                        |              |              |              |              |              |              |              |             
  I-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     22722084 |     23117335 |     23394290 |     23694384 |     23579248 |     23156593 |     22895873 |     22482282
    num misses                     |           16 |           16 |           16 |           16 |           16 |           13 |           13 |           16
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |              |              |              |              |             
    num accesses                   |     79234576 |     80649451 |     81640641 |     82712377 |     82300683 |     80789555 |     79858448 |     78373645
    num misses                     |     11107012 |     11532271 |     11826388 |     11671534 |     11705682 |     11562159 |     11480932 |     11204116
    miss rate                      |       14.02% |       14.30% |       14.49% |       14.11% |       14.22% |       14.31% |       14.38% |       14.30%
    mpki                           |        60.33 |        61.54 |        62.34 |        60.72 |        61.20 |        61.59 |        61.88 |        61.53
  L2 TLB                           |              |              |              |              |              |              |              |             
    num accesses                   |     11107028 |     11532287 |     11826404 |     11671550 |     11705698 |     11562172 |     11480945 |     11204132
    num misses                     |     10820428 |     11240397 |     11536909 |     11346873 |     11407310 |     11265351 |     11190722 |     10920128
    miss rate                      |       97.42% |       97.47% |       97.55% |       97.22% |       97.45% |       97.43% |       97.47% |       97.47%
    mpki                           |        58.78 |        59.98 |        60.81 |        59.03 |        59.64 |        60.01 |        60.31 |        59.97
Cache Summary                      |              |              |              |              |              |              |              |             
  NUCA cache                       |              |              |              |              |              |              |              |             
    num cache accesses             |     58648435 |     70215622 |     87416898 |     75831065 |     75378160 |     56155705 |     57719962 |     74799450
    num cache misses               |     15312421 |     15447255 |     15328952 |     15341608 |     15388922 |     15306850 |     15218543 |     15238827
    miss rate                      |       26.11% |       22.00% |       17.54% |       20.23% |       20.42% |       27.26% |       26.37% |       20.37%
    mpki                           |        81.66 |        82.38 |        81.75 |        81.82 |        82.07 |        81.63 |        81.16 |        81.27
DRAM summary                       |              |              |              |              |              |              |              |             
  num dram accesses                |    449461664 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf |          inf |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |              |              |              |              |             
  num loads from dram              |     42619802 |     43521361 |     44331430 |     44642283 |     44522014 |     43619055 |     43133908 |     42325996
  num loads from dram cache        |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0
  num loads from remote cache      |      1291830 |      1353206 |      1284685 |      1303886 |      1310903 |      1344216 |      1317233 |      1289780
