                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   176341875 |   182087292 |   187101493 |   190894161 |   195391799 |   194505452 |   190179972 |   183528063
  Cycles                           |  3013015720 |  3013015720 |  3013015720 |  3013015720 |  3013015720 |  3013015720 |  3013015720 |  3013015720
  IPC                              |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06 |        0.06
  Time (ns)                        |  1158852200 |  1158852200 |  1158852200 |  1158852200 |  1158852200 |  1158852200 |  1158852200 |  1158852200
  Idle time (ns)                   |        -542 |        -101 |        -160 |        -581 |        -100 |        -100 |          -9 |        -101
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    59152077 |    61079864 |    62762833 |    64035320 |    65540871 |    65243959 |    63795073 |    61563808
  num incorrect                    |     7321897 |     7560045 |     7766723 |     7923646 |     8115071 |     8077515 |     7894717 |     7619318
  misprediction rate               |      11.01% |      11.01% |      11.01% |      11.01% |      11.02% |      11.02% |      11.01% |      11.01%
  mpki                             |       41.52 |       41.52 |       41.51 |       41.51 |       41.53 |       41.53 |       41.51 |       41.52
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    28289005 |    29228562 |    30115541 |    30726965 |    31481133 |    31325811 |    30605396 |    29481902
    num misses                     |           2 |           2 |           2 |           2 |           2 |           2 |           2 |           2
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    61242748 |    63235060 |    64963258 |    66280108 |    67835116 |    67529837 |    66033277 |    63731627
    num misses                     |     1244266 |     1291752 |     1323655 |     1360041 |     1374725 |     1372539 |     1348509 |     1307817
    miss rate                      |       2.03% |       2.04% |       2.04% |       2.05% |       2.03% |       2.03% |       2.04% |       2.05%
    mpki                           |        7.06 |        7.09 |        7.07 |        7.12 |        7.04 |        7.06 |        7.09 |        7.13
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     1244268 |     1291754 |     1323657 |     1360043 |     1374727 |     1372541 |     1348511 |     1307819
    num misses                     |     1203535 |     1248690 |     1263473 |     1310338 |     1301625 |     1307247 |     1306039 |     1268282
    miss rate                      |      96.73% |      96.67% |      95.45% |      96.35% |      94.68% |      95.24% |      96.85% |      96.98%
    mpki                           |        6.83 |        6.86 |        6.75 |        6.86 |        6.66 |        6.72 |        6.87 |        6.91
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    16630189 |    16661958 |    19788835 |    17395033 |    27473649 |    27595776 |    25123525 |    20970089
    num cache misses               |     2398145 |     2345312 |     2355136 |     2348324 |     2406923 |     2473045 |     2438674 |     2395501
    miss rate                      |      14.42% |      14.08% |      11.90% |      13.50% |       8.76% |       8.96% |       9.71% |      11.42%
    mpki                           |       12.79 |       12.51 |       12.56 |       12.52 |       12.84 |       13.19 |       13.01 |       12.78
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   143423065 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     8086448 |     8347048 |     8503212 |     8678733 |     8761352 |     8710415 |     8617344 |     8375141
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |       34456 |       47945 |       44013 |       51972 |       54227 |       52172 |       46264 |       48306
