                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   181246461 |   189196826 |   195809998 |   196666040 |   192659713 |   186216097 |   183095598 |   175158767
  Cycles                           |  2318827680 |  2318827680 |  2318827680 |  2318827680 |  2318827680 |  2318827680 |  2318827680 |  2318827680
  IPC                              |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08 |        0.08
  Time (ns)                        |   891856800 |   891856800 |   891856800 |   891856800 |   891856800 |   891856800 |   891856800 |   891856800
  Idle time (ns)                   |        -100 |        -268 |         -94 |        -265 |        -126 |        -467 |        -115 |        -149
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    12365848 |    12908491 |    13359272 |    13417366 |    13143589 |    12706797 |    12492060 |    11949377
  num incorrect                    |      454668 |      474978 |      490956 |      492818 |      482876 |      468641 |      459543 |      439240
  misprediction rate               |       3.55% |       3.55% |       3.54% |       3.54% |       3.54% |       3.56% |       3.55% |       3.55%
  mpki                             |        2.51 |        2.51 |        2.51 |        2.51 |        2.51 |        2.52 |        2.51 |        2.51
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    17937538 |    18725756 |    19379384 |    19463442 |    19066484 |    18433811 |    18121241 |    17334862
    num misses                     |          28 |          28 |          28 |          28 |          28 |          28 |          28 |          28
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    56336641 |    58805946 |    60862874 |    61129949 |    59884992 |    57875224 |    56910672 |    54445820
    num misses                     |     2955475 |     3077144 |     3218440 |     3224206 |     3178889 |     3098123 |     3009681 |     2848668
    miss rate                      |       5.25% |       5.23% |       5.29% |       5.27% |       5.31% |       5.35% |       5.29% |       5.23%
    mpki                           |       16.31 |       16.26 |       16.44 |       16.39 |       16.50 |       16.64 |       16.44 |       16.26
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     2955503 |     3077172 |     3218468 |     3224234 |     3178917 |     3098151 |     3009709 |     2848696
    num misses                     |     2618828 |     2735937 |     2867584 |     2881121 |     2839016 |     2781704 |     2681892 |     2531298
    miss rate                      |      88.61% |      88.91% |      89.10% |      89.36% |      89.31% |      89.79% |      89.11% |      88.86%
    mpki                           |       14.45 |       14.46 |       14.64 |       14.65 |       14.74 |       14.94 |       14.65 |       14.45
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    30261445 |    28728398 |    37954639 |    29658430 |    20230319 |    21980961 |    32721238 |    32793293
    num cache misses               |     3282264 |     3240244 |     3204388 |     3168740 |     3108472 |     3205507 |     3297533 |     3304722
    miss rate                      |      10.85% |      11.28% |       8.44% |      10.68% |      15.37% |      14.58% |      10.08% |      10.08%
    mpki                           |       17.50 |       17.28 |       17.09 |       16.90 |       16.58 |       17.10 |       17.59 |       17.62
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   142115072 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    11160361 |    11573650 |    11949383 |    12008073 |    11820708 |    11513069 |    11287792 |    10843908
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      800914 |      833341 |      846964 |      856282 |      844280 |      824735 |      811012 |      779884
