                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   245140409 |   248833037 |   253803400 |   252369990 |   252829001 |   254001399 |   248212911 |   244831517
  Cycles                           |  6623232720 |  6623232720 |  6623232720 |  6623232720 |  6623232720 |  6623232720 |  6623232720 |  6623232720
  IPC                              |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04 |        0.04
  Time (ns)                        |  2547397200 |  2547397200 |  2547397200 |  2547397200 |  2547397200 |  2547397200 |  2547397200 |  2547397200
  Idle time (ns)                   |        -297 |        -135 |        -115 |         -69 |        -416 |        -235 |        -143 |        -203
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    30581852 |    31081456 |    31755486 |    31561387 |    31623862 |    31782339 |    30997335 |    30540478
  num incorrect                    |      453049 |      474451 |      503554 |      495392 |      498059 |      504696 |      470632 |      451461
  misprediction rate               |       1.46% |       1.50% |       1.56% |       1.55% |       1.55% |       1.56% |       1.50% |       1.46%
  mpki                             |        1.85 |        1.91 |        1.98 |        1.96 |        1.97 |        1.99 |        1.90 |        1.84
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    34707018 |    35300113 |    36097477 |    35867068 |    35940583 |    36129276 |    35200782 |    34656991
    num misses                     |          22 |          26 |          22 |          26 |          26 |          26 |          26 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |   103282564 |   104724581 |   106664547 |   106104985 |   106284029 |   106741809 |   104482606 |   103161687
    num misses                     |     1558954 |     1629871 |     1727696 |     1699680 |     1702574 |     1637831 |     1593010 |     1578261
    miss rate                      |       1.51% |       1.56% |       1.62% |       1.60% |       1.60% |       1.53% |       1.52% |       1.53%
    mpki                           |        6.36 |        6.55 |        6.81 |        6.73 |        6.73 |        6.45 |        6.42 |        6.45
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     1558976 |     1629897 |     1727718 |     1699706 |     1702600 |     1637857 |     1593036 |     1578283
    num misses                     |     1462853 |     1530252 |     1618456 |     1604758 |     1607886 |     1541558 |     1502553 |     1480038
    miss rate                      |      93.83% |      93.89% |      93.68% |      94.41% |      94.44% |      94.12% |      94.32% |      93.78%
    mpki                           |        5.97 |        6.15 |        6.38 |        6.36 |        6.36 |        6.07 |        6.05 |        6.05
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    91124264 |    57301636 |    39483775 |    77484069 |    56096394 |    79030619 |    61813296 |    76771877
    num cache misses               |     2166059 |     2152031 |     2176428 |     2170644 |     2171648 |     2179810 |     2145017 |     2151369
    miss rate                      |       2.38% |       3.76% |       5.51% |       2.80% |       3.87% |       2.76% |       3.47% |       2.80%
    mpki                           |        8.66 |        8.61 |        8.71 |        8.68 |        8.69 |        8.72 |        8.58 |        8.61
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   338697149 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     9033834 |     9223982 |     9581898 |     9413244 |     9383212 |     9465168 |     9110596 |     8940212
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     6411039 |     6548200 |     6656265 |     6730094 |     6714181 |     6701647 |     6537888 |     6400809
