                                   | Core 0      
  Instructions                     |    799999986
  Cycles                           |  15499505840
  IPC                              |         0.05
  Time (ns)                        |   5961348400
  Idle time (ns)                   |           -2
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    106029152
  num incorrect                    |      3523483
  misprediction rate               |        3.22%
  mpki                             |         4.40
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
  L2 TLB                           |             
    num accesses                   |            0
    num misses                     |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    274124999
    num cache misses               |            0
    miss rate                      |        0.00%
    mpki                           |         0.00
DRAM summary                       |             
  num dram accesses                |    229286221
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |     98416428
  num loads from dram cache        |            0
  num loads from remote cache      |            0
