                                   | Core 0     
  Instructions                     |   799999940
  Cycles                           |  9831109860
  IPC                              |        0.08
  Time (ns)                        |  3781196100
  Idle time (ns)                   |         -43
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   157350255
  num incorrect                    |     3218716
  misprediction rate               |       2.00%
  mpki                             |        4.02
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
  L2 TLB                           |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   221906309
    num cache misses               |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
DRAM summary                       |            
  num dram accesses                |   210825845
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |   159279860
  num loads from dram cache        |           0
  num loads from remote cache      |           0
