                                   | Core 0     
  Instructions                     |   799999994
  Cycles                           |  5048135820
  IPC                              |        0.16
  Time (ns)                        |  1941590700
  Idle time (ns)                   |         -62
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   268273686
  num incorrect                    |    33282796
  misprediction rate               |      11.04%
  mpki                             |       41.60
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
  L2 TLB                           |            
    num accesses                   |           0
    num misses                     |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |    81637495
    num cache misses               |           0
    miss rate                      |       0.00%
    mpki                           |        0.00
DRAM summary                       |            
  num dram accesses                |    76952074
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    31767079
  num loads from dram cache        |           0
  num loads from remote cache      |           0
