                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    501720940 |    507367676 |    501460437 |    489459969
  Cycles                           |  14909325340 |  14909325340 |  14909325340 |  14909325340
  IPC                              |         0.03 |         0.03 |         0.03 |         0.03
  Time (ns)                        |   5734355900 |   5734355900 |   5734355900 |   5734355900
  Idle time (ns)                   |         -103 |         -364 |         -181 |          -61
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     98041585 |     99194136 |     97988065 |     95535146
  num incorrect                    |     11982643 |     12149364 |     11975084 |     11623533
  misprediction rate               |       10.89% |       10.91% |       10.89% |       10.85%
  mpki                             |        23.88 |        23.95 |        23.88 |        23.75
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    169135853 |    174242038 |    112695617 |    180271737
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    460417271 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     76667132 |     77560535 |     76634573 |     74730464
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     14778481 |     14930187 |     14952356 |     14728933
