                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    477821221 |    523859957 |    523859957 |    474474099
  Cycles                           |  12870871520 |  12870871520 |  12870871520 |  12870871520
  IPC                              |         0.04 |         0.04 |         0.04 |         0.04
  Time (ns)                        |   4950335200 |   4950335200 |   4950335200 |   4950335200
  Idle time (ns)                   |         -324 |         -194 |          -32 |         -366
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    103339306 |    113846882 |    113846890 |    102575861
  num incorrect                    |      9173736 |      9986245 |      9986246 |      9115083
  misprediction rate               |        8.15% |        8.06% |        8.06% |        8.16%
  mpki                             |        19.20 |        19.06 |        19.06 |        19.21
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    141288226 |    151398471 |    127770543 |    140064249
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    449386338 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     87418440 |     84984917 |     85046667 |     86772827
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |      4316701 |     15478304 |     15432059 |      4305679
