                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    501759997 |    507328465 |    501646617 |    489283759
  Cycles                           |  14907118460 |  14907118460 |  14907118460 |  14907118460
  IPC                              |         0.03 |         0.03 |         0.03 |         0.03
  Time (ns)                        |   5733507100 |   5733507100 |   5733507100 |   5733507100
  Idle time (ns)                   |          -20 |         -100 |         -124 |         -198
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     98049601 |     99186221 |     98026260 |     95499322
  num incorrect                    |     11983785 |     12148195 |     11980535 |     11618311
  misprediction rate               |       10.89% |       10.91% |       10.89% |       10.85%
  mpki                             |        23.88 |        23.95 |        23.88 |        23.75
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    169134154 |    174233410 |    112691469 |    180272662
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    460406503 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     76672417 |     77556148 |     76665205 |     74699423
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     14771874 |     14922590 |     14959317 |     14726250
