                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    490730096 |    503413162 |    506438294 |    499429925
  Cycles                           |  15049821540 |  15049821540 |  15049821540 |  15049821540
  IPC                              |         0.03 |         0.03 |         0.03 |         0.03
  Time (ns)                        |   5788392900 |   5788392900 |   5788392900 |   5788392900
  Idle time (ns)                   |         -180 |         -190 |         -248 |          -35
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    105883297 |    108292428 |    108946389 |    107413140
  num incorrect                    |      7050968 |      7151302 |      7187154 |      7107314
  misprediction rate               |        6.24% |        6.19% |        6.19% |        6.21%
  mpki                             |        14.37 |        14.21 |        14.19 |        14.23
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    160447437 |    136072199 |    138230619 |    172387283
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    419959527 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     71842026 |     73598271 |     73989543 |     73026141
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     13742488 |     13873629 |     13902895 |     13790848
