                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   498965562 |   500717105 |   501249856 |   499087295
  Cycles                           |  2787951140 |  2787951140 |  2787951140 |  2787951140
  IPC                              |        0.18 |        0.18 |        0.18 |        0.18
  Time (ns)                        |  1072288900 |  1072288900 |  1072288900 |  1072288900
  Idle time (ns)                   |        -429 |        -103 |         -11 |        -410
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    38860617 |    38995996 |    39037170 |    38870026
  num incorrect                    |       55922 |       55922 |       55922 |       55922
  misprediction rate               |       0.14% |       0.14% |       0.14% |       0.14%
  mpki                             |        0.11 |        0.11 |        0.11 |        0.11
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |   122436154 |   121261337 |   122398138 |   119465560
    num cache misses               |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |            
  num dram accesses                |   343727864 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    40244050 |    40366645 |    40413489 |    40218989
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |     5264198 |     5254367 |     5269424 |     5355733
