                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   501576811 |   512449994 |   506108879 |   479881768
  Cycles                           |  3609856120 |  3609856120 |  3609856120 |  3609856120
  IPC                              |        0.14 |        0.14 |        0.14 |        0.13
  Time (ns)                        |  1388406200 |  1388406200 |  1388406200 |  1388406200
  Idle time (ns)                   |        -101 |         -57 |        -100 |        -199
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   168225559 |   171867243 |   169741303 |   160951470
  num incorrect                    |    20850956 |    21308424 |    21044206 |    19944756
  misprediction rate               |      11.03% |      11.03% |      11.03% |      11.03%
  mpki                             |       41.57 |       41.58 |       41.58 |       41.56
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    52508185 |    52672292 |    53019292 |    44877067
    num cache misses               |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |            
  num dram accesses                |   162151585 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    16109378 |    16412885 |    16236269 |    15626465
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |      561557 |      546798 |      556819 |      481883
