                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   113999982 |   118711208 |   123991494 |   129057885 |   132909050 |   131962977 |   127755952 |   121648083
  Cycles                           |  1309403680 |  1309403680 |  1309403680 |  1309403680 |  1309403680 |  1309403680 |  1309403680 |  1309403680
  IPC                              |        0.09 |        0.09 |        0.09 |        0.10 |        0.10 |        0.10 |        0.10 |        0.09
  Time (ns)                        |   503616800 |   503616800 |   503616800 |   503616800 |   503616800 |   503616800 |   503616800 |   503616800
  Idle time (ns)                   |         -31 |        -101 |        -100 |        -132 |        -194 |        -100 |        -101 |        -168
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    38238845 |    39818007 |    41587465 |    43283444 |    44577238 |    44259644 |    42846884 |    40801627
  num incorrect                    |     4735057 |     4931443 |     5151256 |     5365218 |     5522721 |     5483811 |     5311132 |     5053978
  misprediction rate               |      11.02% |      11.02% |      11.02% |      11.03% |      11.02% |      11.02% |      11.03% |      11.02%
  mpki                             |       41.54 |       41.54 |       41.55 |       41.57 |       41.55 |       41.56 |       41.57 |       41.55
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |     9699871 |     9790046 |    11796212 |    10279728 |    16621252 |    16635771 |    15060463 |    12485388
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    82273366 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     3675057 |     3790717 |     3901412 |     4015892 |     4101723 |     4083791 |     3994858 |     3848990
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |       10528 |       11402 |       23229 |       23600 |       23711 |       20343 |       16056 |       21291
