                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   121301197 |   128289209 |   132109990 |   132280519 |   128572506 |   124531634 |   119900000 |   113038959
  Cycles                           |  1082813420 |  1082813420 |  1082813420 |  1082813420 |  1082813420 |  1082813420 |  1082813420 |  1082813420
  IPC                              |        0.11 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.11 |        0.10
  Time (ns)                        |   416466700 |   416466700 |   416466700 |   416466700 |   416466700 |   416466700 |   416466700 |   416466700
  Idle time (ns)                   |        -283 |        -125 |        -100 |        -221 |        -116 |        -134 |         -45 |        -114
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |     8272753 |     8749600 |     9011543 |     9022915 |     8769666 |     8492436 |     8176819 |     7707963
  num incorrect                    |      305721 |      323000 |      332974 |      333239 |      324025 |      313265 |      302275 |      284766
  misprediction rate               |       3.56% |       3.56% |       3.56% |       3.56% |       3.56% |       3.56% |       3.56% |       3.56%
  mpki                             |        2.52 |        2.52 |        2.52 |        2.52 |        2.52 |        2.52 |        2.52 |        2.52
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    15882106 |    15137692 |    20289482 |    15305475 |    10384592 |    10971471 |    16961169 |    17489623
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |    68307678 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     5135893 |     5406225 |     5556375 |     5564685 |     5424568 |     5265213 |     5091000 |     4831532
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      611197 |      637305 |      652214 |      652292 |      638871 |      625037 |      601382 |      571980
