                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   179676915 |   184409992 |   188277513 |   192047252 |   193767444 |   192139289 |   187318439 |   182414757
  Cycles                           |  7812748320 |  7812748320 |  7812748320 |  7812748320 |  7812748320 |  7812748320 |  7812748320 |  7812748320
  IPC                              |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02 |        0.02
  Time (ns)                        |  3004903200 |  3004903200 |  3004903200 |  3004903200 |  3004903200 |  3004903200 |  3004903200 |  3004903200
  Idle time (ns)                   |        -456 |         -37 |        -120 |        -227 |        -538 |        -220 |        -137 |        -163
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    33466555 |    34389610 |    35146033 |    35883628 |    36220494 |    35901634 |    34958128 |    34000796
  num incorrect                    |     3358909 |     3470545 |     3561922 |     3651300 |     3692331 |     3653506 |     3539194 |     3423341
  misprediction rate               |       9.12% |       9.17% |       9.20% |       9.24% |       9.25% |       9.24% |       9.19% |       9.15%
  mpki                             |       18.69 |       18.82 |       18.92 |       19.01 |       19.06 |       19.01 |       18.89 |       18.77
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    53466944 |    56603988 |    40149751 |    66840949 |    75663726 |    71295131 |    40029606 |    78397508
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   336187724 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    24987837 |    25674890 |    26232848 |    26774470 |    27029920 |    26791082 |    26096744 |    25390333
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     5254226 |     5409574 |     5516259 |     5623943 |     5718402 |     5595934 |     5437721 |     5270224
