                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   240330677 |   244280130 |   256284153 |   257438473 |   254909496 |   257601791 |   248939972 |   240240682
  Cycles                           |  8024289260 |  8024289260 |  8024289260 |  8024289260 |  8024289260 |  8024289260 |  8024289260 |  8024289260
  IPC                              |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                        |  3086265100 |  3086265100 |  3086265100 |  3086265100 |  3086265100 |  3086265100 |  3086265100 |  3086265100
  Idle time (ns)                   |        -164 |        -123 |        -500 |        -292 |        -103 |        -106 |         -79 |        -111
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    51985954 |    52902700 |    55591714 |    55843762 |    55290489 |    55881623 |    53932779 |    51965254
  num incorrect                    |     3484046 |     3532488 |     3697799 |     3714461 |     3677752 |     3716684 |     3598721 |     3482949
  misprediction rate               |       6.28% |       6.26% |       6.24% |       6.24% |       6.24% |       6.24% |       6.26% |       6.28%
  mpki                             |       14.50 |       14.46 |       14.43 |       14.43 |       14.43 |       14.43 |       14.46 |       14.50
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    71892681 |    61139350 |    41896641 |    91873383 |    87754443 |    76506560 |    90212327 |    86409645
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   400814246 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    34371578 |    35111057 |    36665607 |    36769725 |    36495490 |    36804938 |    35721955 |    34374395
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     5439716 |     5418487 |     5649010 |     5793583 |     5694719 |     5652669 |     5374821 |     5324215
