                                   | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                     |  499999785 |  500000041 |  500000018 |  500000018
  Cycles                           |  722919340 |  722919340 |  722919340 |  722919340
  IPC                              |       0.69 |       0.69 |       0.69 |       0.69
  Time (ns)                        |  278045900 |  278045900 |  278045900 |  278045900
  Idle time (ns)                   |        -94 |       -212 |       -103 |       -101
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |           
  num correct                      |   65136059 |   65136064 |   65136062 |   65136062
  num incorrect                    |    1872219 |    1872220 |    1872219 |    1872219
  misprediction rate               |      2.79% |      2.79% |      2.79% |      2.79%
  mpki                             |       3.74 |       3.74 |       3.74 |       3.74
TLB Summary                        |            |            |            |           
  I-TLB                            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |           
  NUCA cache                       |            |            |            |           
    num cache accesses             |   15321055 |   17352099 |   14075951 |   18634711
    num cache misses               |    6522127 |    6429690 |    6060623 |    6770216
    miss rate                      |     42.57% |     37.05% |     43.06% |     36.33%
    mpki                           |      13.04 |      12.86 |      12.12 |      13.54
DRAM summary                       |            |            |            |           
  num dram accesses                |   16962579 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |           
  num loads from dram              |    3032223 |    3305587 |    3224010 |    2863270
  num loads from dram cache        |          0 |          0 |          0 |          0
  num loads from remote cache      |   27107579 |   27466914 |   27411693 |   27270781
