                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    498015791 |    509072022 |    505539990 |    487388898
  Cycles                           |  12946022440 |  12946022440 |  12946022440 |  12946022440
  IPC                              |         0.04 |         0.04 |         0.04 |         0.04
  Time (ns)                        |   4979239400 |   4979239400 |   4979239400 |   4979239400
  Idle time (ns)                   |         -142 |         -103 |           -9 |         -202
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     97283605 |     99542349 |     98820430 |     95111759
  num incorrect                    |     11874031 |     12199624 |     12095507 |     11563102
  misprediction rate               |       10.88% |       10.92% |       10.91% |       10.84%
  mpki                             |        23.84 |        23.96 |        23.93 |        23.72
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    169263561 |    174076780 |    112812517 |    181166581
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    461752480 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     76125047 |     77880744 |     77345916 |     74455878
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     14370856 |     14641677 |     14707742 |     14354906
