                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    449817509 |    551259978 |    551259986 |    447688436
  Cycles                           |  10084611160 |  10084611160 |  10084611160 |  10084611160
  IPC                              |         0.04 |         0.05 |         0.05 |         0.04
  Time (ns)                        |   3878696600 |   3878696600 |   3878696600 |   3878696600
  Idle time (ns)                   |          -67 |          -37 |          -13 |         -297
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     96954625 |    120101484 |    120101490 |     96469699
  num incorrect                    |      8682476 |     10476036 |     10476036 |      8645009
  misprediction rate               |        8.22% |        8.02% |        8.02% |        8.22%
  mpki                             |        19.30 |        19.00 |        19.00 |        19.31
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    134649755 |    144909769 |    121113220 |    133548962
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    419083651 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     81923498 |     77915048 |     77912723 |     81503713
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |      3947684 |     27433657 |     27432445 |      3920825
