                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    486233003 |    508089527 |    514349917 |    491343000
  Cycles                           |  12404191540 |  12404191540 |  12404191540 |  12404191540
  IPC                              |         0.04 |         0.04 |         0.04 |         0.04
  Time (ns)                        |   4770842900 |   4770842900 |   4770842900 |   4770842900
  Idle time (ns)                   |          -49 |         -111 |          -62 |         -102
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    104882768 |    109296138 |    110636701 |    105935677
  num incorrect                    |      6993411 |      7206813 |      7279168 |      7051290
  misprediction rate               |        6.25% |        6.19% |        6.17% |        6.24%
  mpki                             |        14.38 |        14.18 |        14.15 |        14.35
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    160070892 |    134880059 |    138632043 |    170323753
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    416476546 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     71037023 |     74012380 |     74832691 |     71702335
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     13246698 |     13488115 |     13539392 |     13414638
