                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    486249966 |    508218107 |    514469088 |    491079777
  Cycles                           |  12405906500 |  12405906500 |  12405906500 |  12405906500
  IPC                              |         0.04 |         0.04 |         0.04 |         0.04
  Time (ns)                        |   4771502500 |   4771502500 |   4771502500 |   4771502500
  Idle time (ns)                   |         -140 |         -167 |         -506 |          -52
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    104886338 |    109322246 |    110663482 |    105915430
  num incorrect                    |      6993635 |      7208412 |      7280450 |      7051290
  misprediction rate               |        6.25% |        6.19% |        6.17% |        6.24%
  mpki                             |        14.38 |        14.18 |        14.15 |        14.36
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  L2 TLB                           |              |              |              |             
    num accesses                   |            0 |            0 |            0 |            0
    num misses                     |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    160055216 |    134879251 |    138631993 |    170316297
    num cache misses               |            0 |            0 |            0 |            0
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
DRAM summary                       |              |              |              |             
  num dram accesses                |    416431867 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |     71054020 |     74015469 |     74839877 |     71685420
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     13230094 |     13488060 |     13555818 |     13402058
