                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   451564746 |   548439966 |   548439969 |   451564729
  Cycles                           |  6926806120 |  6926806120 |  6926806120 |  6926806120
  IPC                              |        0.07 |        0.08 |        0.08 |        0.07
  Time (ns)                        |  2664156200 |  2664156200 |  2664156200 |  2664156200
  Idle time (ns)                   |        -102 |         -60 |        -100 |        -101
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    84296996 |   100374514 |   100374517 |    84297001
  num incorrect                    |     2113628 |     2832053 |     2832054 |     2113628
  misprediction rate               |       2.45% |       2.74% |       2.74% |       2.45%
  mpki                             |        4.68 |        5.16 |        5.16 |        4.68
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |   107981129 |   123457176 |   118068757 |   129059929
    num cache misses               |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |            
  num dram accesses                |   341388488 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    58448788 |    55415167 |    55358839 |    58467676
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |     2888017 |    19088206 |    19127767 |     2873032
