                                   | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                     |  499999853 |  499999818 |  499999827 |  499999864
  Cycles                           |  436914400 |  436914400 |  436914400 |  436914400
  IPC                              |       1.14 |       1.14 |       1.14 |       1.14
  Time (ns)                        |  168044000 |  168044000 |  168044000 |  168044000
  Idle time (ns)                   |       -103 |        -62 |       -104 |       -103
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |           
  num correct                      |   38940558 |   38940556 |   38940556 |   38940559
  num incorrect                    |      55922 |      55922 |      55922 |      55922
  misprediction rate               |      0.14% |      0.14% |      0.14% |      0.14%
  mpki                             |       0.11 |       0.11 |       0.11 |       0.11
TLB Summary                        |            |            |            |           
  I-TLB                            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |           
  NUCA cache                       |            |            |            |           
    num cache accesses             |   40214128 |   39687789 |   40160865 |   39719791
    num cache misses               |   23287688 |   23007990 |   23544214 |   22905022
    miss rate                      |     57.91% |     57.97% |     58.62% |     57.67%
    mpki                           |      46.58 |      46.02 |      47.09 |      45.81
DRAM summary                       |            |            |            |           
  num dram accesses                |   41950844 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |           
  num loads from dram              |    8113297 |   10236642 |   11019169 |    9627667
  num loads from dram cache        |          0 |          0 |          0 |          0
  num loads from remote cache      |   32079487 |   29690823 |   29126388 |   30659824
