                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  117180305 |  118648737 |  130229951 |  123690143 |  124574531 |  136097869 |  126116069 |  123499529
  Cycles                           |  965587740 |  965587740 |  965587740 |  965587740 |  965587740 |  965587740 |  965587740 |  965587740
  IPC                              |       0.12 |       0.12 |       0.13 |       0.13 |       0.13 |       0.14 |       0.13 |       0.13
  Time (ns)                        |  371379900 |  371379900 |  371379900 |  371379900 |  371379900 |  371379900 |  371379900 |  371379900
  Idle time (ns)                   |       -179 |       -101 |        -11 |       -108 |       -156 |       -127 |       -152 |       -100
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |   26039987 |   26366317 |   28939896 |   27486595 |   27683127 |   30243911 |   28025730 |   27444269
  num incorrect                    |         40 |         40 |         40 |         40 |         40 |         40 |         40 |         40
  misprediction rate               |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
  mpki                             |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   29392997 |   29345151 |   29123779 |   29621743 |   30096641 |   38348486 |   47776439 |   39076976
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |  207464237 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |   14337917 |   14506668 |   15901314 |   15091735 |   15215565 |   16599791 |   15406640 |   15073140
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |       1197 |       5946 |       6512 |      21066 |      10363 |       4915 |       8808 |      20812
