                                   | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7    
  Instructions                     |  119179989 |  126333127 |  132340628 |  130555127 |  128124569 |  127157170 |  120541938 |  115791072
  Cycles                           |  832094380 |  832094380 |  832094380 |  832094380 |  832094380 |  832094380 |  832094380 |  832094380
  IPC                              |       0.14 |       0.15 |       0.16 |       0.16 |       0.15 |       0.15 |       0.14 |       0.14
  Time (ns)                        |  320036300 |  320036300 |  320036300 |  320036300 |  320036300 |  320036300 |  320036300 |  320036300
  Idle time (ns)                   |        -47 |       -657 |       -117 |       -205 |       -118 |       -112 |       -119 |       -121
  Idle time (%)                    |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0% |      -0.0%
Branch predictor stats             |            |            |            |            |            |            |            |           
  num correct                      |    8127472 |    8616019 |    9027018 |    8905392 |    8738582 |    8672308 |    8220545 |    7896767
  num incorrect                    |     300241 |     317987 |     333400 |     329126 |     322699 |     320095 |     303726 |     292063
  misprediction rate               |      3.56% |      3.56% |      3.56% |      3.56% |      3.56% |      3.56% |      3.56% |      3.57%
  mpki                             |       2.52 |       2.52 |       2.52 |       2.52 |       2.52 |       2.52 |       2.52 |       2.52
TLB Summary                        |            |            |            |            |            |            |            |           
  I-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                            |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  L2 TLB                           |            |            |            |            |            |            |            |           
    num accesses                   |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    num misses                     |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Cache Summary                      |            |            |            |            |            |            |            |           
  NUCA cache                       |            |            |            |            |            |            |            |           
    num cache accesses             |   15640208 |   14991281 |   20160992 |   15254307 |   10251431 |   10768493 |   16519439 |   16930756
    num cache misses               |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
    miss rate                      |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                           |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
DRAM summary                       |            |            |            |            |            |            |            |           
  num dram accesses                |   67874340 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns) |       0.00 |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay      |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
Coherency Traffic                  |            |            |            |            |            |            |            |           
  num loads from dram              |    5011865 |    5273928 |    5511680 |    5446813 |    5358055 |    5310984 |    5067893 |    4889115
  num loads from dram cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache      |     630827 |     665880 |     683651 |     679452 |     670824 |     671691 |     638723 |     615296
