                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   179496697 |   184120055 |   190300942 |   189981247 |   191449980 |   193344436 |   187853806 |   183478802
  Cycles                           |  5500110980 |  5500110980 |  5500110980 |  5500110980 |  5500110980 |  5500110980 |  5500110980 |  5500110980
  IPC                              |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.04 |        0.03 |        0.03
  Time (ns)                        |  2115427300 |  2115427300 |  2115427300 |  2115427300 |  2115427300 |  2115427300 |  2115427300 |  2115427300
  Idle time (ns)                   |        -101 |        -190 |        -362 |        -376 |         -40 |        -294 |        -112 |        -210
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    36842898 |    37835233 |    39165822 |    39096782 |    39413797 |    39822418 |    38638103 |    37697583
  num incorrect                    |     3545063 |     3643911 |     3774739 |     3768029 |     3798950 |     3838850 |     3723345 |     3630237
  misprediction rate               |       8.78% |       8.78% |       8.79% |       8.79% |       8.79% |       8.79% |       8.79% |       8.78%
  mpki                             |       19.75 |       19.79 |       19.84 |       19.83 |       19.84 |       19.85 |       19.82 |       19.79
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    54285674 |    56853740 |    43115509 |    45309053 |    59401093 |    60856871 |    56856411 |    61421646
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   341763669 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    29646702 |    30419036 |    31578458 |    31527321 |    31787112 |    32135849 |    31143337 |    30304218
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1750642 |     1846682 |     1838253 |     1839722 |     1850470 |     1857435 |     1856669 |     1808104
