                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   170898160 |   177428643 |   189679988 |   193482775 |   196874588 |   199818975 |   191362625 |   180499796
  Cycles                           |  1598307880 |  1598307880 |  1598307880 |  1598307880 |  1598307880 |  1598307880 |  1598307880 |  1598307880
  IPC                              |        0.11 |        0.11 |        0.12 |        0.12 |        0.12 |        0.13 |        0.12 |        0.11
  Time (ns)                        |   614733800 |   614733800 |   614733800 |   614733800 |   614733800 |   614733800 |   614733800 |   614733800
  Idle time (ns)                   |        -100 |        -170 |          -7 |        -137 |        -123 |        -115 |        -100 |        -121
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    57325783 |    59518362 |    63626939 |    64901786 |    66037222 |    67023872 |    64192910 |    60547531
  num incorrect                    |     7096048 |     7365816 |     7874300 |     8033754 |     8177265 |     8301005 |     7942898 |     7494143
  misprediction rate               |      11.01% |      11.01% |      11.01% |      11.01% |      11.02% |      11.02% |      11.01% |      11.01%
  mpki                             |       41.52 |       41.51 |       41.51 |       41.52 |       41.54 |       41.54 |       41.51 |       41.52
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    14429944 |    14539419 |    17528082 |    15266645 |    24742134 |    24757306 |    22409648 |    18600199
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   124489730 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     5542693 |     5705833 |     5931405 |     6032934 |     6144733 |     6212750 |     5999193 |     5780652
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |       12076 |       17318 |       88933 |       75621 |       48370 |       53119 |       63468 |       17425
