                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   179053661 |   189387795 |   199051563 |   195700006 |   192472635 |   190672245 |   180608497 |   173085125
  Cycles                           |  1247326340 |  1247326340 |  1247326340 |  1247326340 |  1247326340 |  1247326340 |  1247326340 |  1247326340
  IPC                              |        0.14 |        0.15 |        0.16 |        0.16 |        0.15 |        0.15 |        0.14 |        0.14
  Time (ns)                        |   479740900 |   479740900 |   479740900 |   479740900 |   479740900 |   479740900 |   479740900 |   479740900
  Idle time (ns)                   |        -109 |        -101 |        -254 |         -23 |        -118 |        -105 |        -118 |        -201
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    12216287 |    12921552 |    13579692 |    13351870 |    13130898 |    13008471 |    12322389 |    11807392
  num incorrect                    |      449345 |      475455 |      498326 |      490737 |      482358 |      478202 |      453090 |      433813
  misprediction rate               |       3.55% |       3.55% |       3.54% |       3.55% |       3.54% |       3.55% |       3.55% |       3.54%
  mpki                             |        2.51 |        2.51 |        2.50 |        2.51 |        2.51 |        2.51 |        2.51 |        2.51
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    23476910 |    22491539 |    30259489 |    22885202 |    15378588 |    16152877 |    24787685 |    25412903
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   101817037 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     7519806 |     7909913 |     8280388 |     8165266 |     8037992 |     7960243 |     7595032 |     7310911
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |      949479 |      992690 |     1029578 |     1014945 |     1011099 |     1009280 |      955296 |      918597
