                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   237583247 |   244516076 |   252419410 |   255465916 |   259788869 |   259638811 |   248849977 |   241788030
  Cycles                           |  7945656680 |  7945656680 |  7945656680 |  7945656680 |  7945656680 |  7945656680 |  7945656680 |  7945656680
  IPC                              |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03 |        0.03
  Time (ns)                        |  3056021800 |  3056021800 |  3056021800 |  3056021800 |  3056021800 |  3056021800 |  3056021800 |  3056021800
  Idle time (ns)                   |        -125 |        -372 |        -101 |        -122 |        -146 |        -274 |         -71 |        -137
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    44848439 |    46220911 |    47788548 |    48393079 |    49252148 |    49222204 |    47080018 |    45680626
  num incorrect                    |     4759103 |     4931851 |     5130044 |     5206796 |     5315956 |     5312270 |     5040624 |     4863793
  misprediction rate               |       9.59% |       9.64% |       9.69% |       9.71% |       9.74% |       9.74% |       9.67% |       9.62%
  mpki                             |       20.03 |       20.17 |       20.32 |       20.38 |       20.46 |       20.46 |       20.26 |       20.12
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    70188557 |    75441769 |    53505958 |    87021589 |   100920212 |    95632981 |    53154119 |   108381058
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   453177223 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    33915366 |    34950701 |    36127028 |    36581684 |    36651169 |    36628745 |    35603256 |    34551524
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     6390952 |     6663081 |     6869298 |     6978122 |     7702590 |     7607511 |     6811486 |     6585697
