                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   248437301 |   249999810 |   251270023 |   251258210 |   251206768 |   251243345 |   249232133 |   247382870
  Cycles                           |  1091767300 |  1091767300 |  1091767300 |  1091767300 |  1091767300 |  1091767300 |  1091767300 |  1091767300
  IPC                              |        0.23 |        0.23 |        0.23 |        0.23 |        0.23 |        0.23 |        0.23 |        0.23
  Time (ns)                        |   419910500 |   419910500 |   419910500 |   419910500 |   419910500 |   419910500 |   419910500 |   419910500
  Idle time (ns)                   |        -100 |          -2 |        -102 |        -104 |        -104 |        -100 |        -100 |        -102
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    19496838 |    19617608 |    19715784 |    19714871 |    19710895 |    19713721 |    19558272 |    19415339
  num incorrect                    |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922 |       55922
  misprediction rate               |       0.29% |       0.28% |       0.28% |       0.28% |       0.28% |       0.28% |       0.29% |       0.29%
  mpki                             |        0.23 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.22 |        0.23
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    61657230 |    61935209 |    60753299 |    59719830 |    60785270 |    58936105 |    60832923 |    59369222
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   336464571 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    19136647 |    19390618 |    19549917 |    19503175 |    19481943 |    19413836 |    19345717 |    18962950
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     4430103 |     4122666 |     3828450 |     3915053 |     3987241 |     4086849 |     4239812 |     4595730
