                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   238814314 |   246308980 |   262329761 |   254614730 |   252881915 |   260369784 |   245655500 |   239061809
  Cycles                           |  5754862620 |  5754862620 |  5754862620 |  5754862620 |  5754862620 |  5754862620 |  5754862620 |  5754862620
  IPC                              |        0.04 |        0.04 |        0.05 |        0.04 |        0.04 |        0.05 |        0.04 |        0.04
  Time (ns)                        |  2213408700 |  2213408700 |  2213408700 |  2213408700 |  2213408700 |  2213408700 |  2213408700 |  2213408700
  Idle time (ns)                   |        -135 |        -209 |        -144 |        -115 |        -100 |         -79 |        -179 |        -164
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    44548515 |    46009535 |    49140751 |    47627951 |    47292329 |    48755508 |    45880844 |    44596311
  num incorrect                    |     1467730 |     1503409 |     1578849 |     1544174 |     1534974 |     1569975 |     1500649 |     1469066
  misprediction rate               |       3.19% |       3.16% |       3.11% |       3.14% |       3.14% |       3.12% |       3.17% |       3.19%
  mpki                             |        6.15 |        6.10 |        6.02 |        6.06 |        6.07 |        6.03 |        6.11 |        6.15
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    53537383 |    65312895 |    83436456 |    70937716 |    69325171 |    47222862 |    53110085 |    71334918
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   399053326 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    34782770 |    35963054 |    38587457 |    37378254 |    37075324 |    38272267 |    35807671 |    34829496
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1384397 |     1443505 |     1443229 |     1456045 |     1462661 |     1452910 |     1502708 |     1435683
