                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   228649988 |   236784861 |   251761946 |   257453368 |   262748811 |   266454374 |   255125306 |   241057892
  Cycles                           |  2138595680 |  2138595680 |  2138595680 |  2138595680 |  2138595680 |  2138595680 |  2138595680 |  2138595680
  IPC                              |        0.11 |        0.11 |        0.12 |        0.12 |        0.12 |        0.12 |        0.12 |        0.11
  Time (ns)                        |   822536800 |   822536800 |   822536800 |   822536800 |   822536800 |   822536800 |   822536800 |   822536800
  Idle time (ns)                   |         -27 |        -145 |        -132 |        -194 |        -282 |        -101 |        -117 |        -124
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    76702059 |    79430485 |    84448191 |    86357074 |    88131899 |    89370929 |    85574982 |    80860949
  num incorrect                    |     9488415 |     9826843 |    10456824 |    10693800 |    10915764 |    11074042 |    10597974 |    10008443
  misprediction rate               |      11.01% |      11.01% |      11.02% |      11.02% |      11.02% |      11.02% |      11.02% |      11.01%
  mpki                             |       41.50 |       41.50 |       41.53 |       41.54 |       41.54 |       41.56 |       41.54 |       41.52
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    19327006 |    19452139 |    23449184 |    20411222 |    33076905 |    33082227 |    29964739 |    24896625
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   166921158 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     7421121 |     7639997 |     7993256 |     8100666 |     8226877 |     8317783 |     8050929 |     7742449
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |       26429 |       19232 |       19708 |       41255 |       45589 |       45052 |       37902 |       21411
