                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   238748223 |   252968113 |   265333682 |   260825154 |   256111226 |   254640010 |   239985625 |   231420635
  Cycles                           |  1663152140 |  1663152140 |  1663152140 |  1663152140 |  1663152140 |  1663152140 |  1663152140 |  1663152140
  IPC                              |        0.14 |        0.15 |        0.16 |        0.16 |        0.15 |        0.15 |        0.14 |        0.14
  Time (ns)                        |   639673900 |   639673900 |   639673900 |   639673900 |   639673900 |   639673900 |   639673900 |   639673900
  Idle time (ns)                   |        -176 |        -101 |         -11 |        -101 |        -101 |         -87 |        -167 |        -211
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    16289823 |    17262558 |    18104435 |    17797224 |    17476513 |    17375517 |    16374691 |    15788848
  num incorrect                    |      597523 |      633612 |      663880 |      652506 |      641316 |      637208 |      600716 |      579155
  misprediction rate               |       3.54% |       3.54% |       3.54% |       3.54% |       3.54% |       3.54% |       3.54% |       3.54%
  mpki                             |        2.50 |        2.50 |        2.50 |        2.50 |        2.50 |        2.50 |        2.50 |        2.50
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    num misses                     |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    31301117 |    29961192 |    40315765 |    30498290 |    20489482 |    21543917 |    33037918 |    33843268
    num cache misses               |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   135711670 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    10030170 |    10566210 |    11041913 |    10884643 |    10705653 |    10639031 |    10098109 |     9767649
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1257513 |     1317839 |     1364960 |     1343998 |     1333798 |     1332384 |     1264003 |     1224208
