                                   | Core 0      
  Instructions                     |    799999948
  Cycles                           |  26648090820
  IPC                              |         0.03
  Time (ns)                        |  10249265700
  Idle time (ns)                   |          -80
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    159601037
  num incorrect                    |     20958522
  misprediction rate               |       11.61%
  mpki                             |        26.20
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |    117316211
    num misses                     |           16
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    390879713
    num misses                     |     63888129
    miss rate                      |       16.34%
    mpki                           |        79.86
  L2 TLB                           |             
    num accesses                   |     63888145
    num misses                     |     60631696
    miss rate                      |       94.90%
    mpki                           |        75.79
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    445376863
    num cache misses               |    114209828
    miss rate                      |       25.64%
    mpki                           |       142.76
DRAM summary                       |             
  num dram accesses                |    380372866
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    287022578
  num loads from dram cache        |            0
  num loads from remote cache      |            0
