                                   | Core 0      
  Instructions                     |    799999948
  Cycles                           |  26649302940
  IPC                              |         0.03
  Time (ns)                        |  10249731900
  Idle time (ns)                   |          -34
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    159601037
  num incorrect                    |     20958522
  misprediction rate               |       11.61%
  mpki                             |        26.20
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |    117316211
    num misses                     |           16
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    390879713
    num misses                     |     63894404
    miss rate                      |       16.35%
    mpki                           |        79.87
  L2 TLB                           |             
    num accesses                   |     63894420
    num misses                     |     60651169
    miss rate                      |       94.92%
    mpki                           |        75.81
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    445476436
    num cache misses               |    114274670
    miss rate                      |       25.65%
    mpki                           |       142.84
DRAM summary                       |             
  num dram accesses                |    380469488
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    287092715
  num loads from dram cache        |            0
  num loads from remote cache      |            0
