                                   | Core 0      
  Instructions                     |    799999981
  Cycles                           |  22145996860
  IPC                              |         0.04
  Time (ns)                        |   8517691100
  Idle time (ns)                   |          -93
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    171365887
  num incorrect                    |     10526845
  misprediction rate               |        5.79%
  mpki                             |        13.16
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     82189007
    num misses                     |           27
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    320445721
    num misses                     |     56994927
    miss rate                      |       17.79%
    mpki                           |        71.24
  L2 TLB                           |             
    num accesses                   |     56994954
    num misses                     |     47176501
    miss rate                      |       82.77%
    mpki                           |        58.97
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    388076009
    num cache misses               |     97105186
    miss rate                      |       25.02%
    mpki                           |       121.38
DRAM summary                       |             
  num dram accesses                |    343448088
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    265432216
  num loads from dram cache        |            0
  num loads from remote cache      |            0
