                                   | Core 0      
  Instructions                     |    799999883
  Cycles                           |  18045095900
  IPC                              |         0.04
  Time (ns)                        |   6940421500
  Idle time (ns)                   |          -44
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    142121034
  num incorrect                    |      4702169
  misprediction rate               |        3.20%
  mpki                             |         5.88
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     79296533
    num misses                     |           16
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    353480809
    num misses                     |     38283696
    miss rate                      |       10.83%
    mpki                           |        47.85
  L2 TLB                           |             
    num accesses                   |     38283712
    num misses                     |     34859045
    miss rate                      |       91.05%
    mpki                           |        43.57
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    328086489
    num cache misses               |     60805692
    miss rate                      |       18.53%
    mpki                           |        76.01
DRAM summary                       |             
  num dram accesses                |    279790142
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    208474409
  num loads from dram cache        |            0
  num loads from remote cache      |            0
