                                   | Core 0      
  Instructions                     |    799999907
  Cycles                           |  13574545660
  IPC                              |         0.06
  Time (ns)                        |   5220979100
  Idle time (ns)                   |          -29
  Idle time (%)                    |        -0.0%
Branch predictor stats             |             
  num correct                      |    157350255
  num incorrect                    |      3218716
  misprediction rate               |        2.00%
  mpki                             |         4.02
TLB Summary                        |             
  I-TLB                            |             
    num accesses                   |     97585940
    num misses                     |           14
    miss rate                      |        0.00%
    mpki                           |         0.00
  D-TLB                            |             
    num accesses                   |    341366080
    num misses                     |     56015701
    miss rate                      |       16.41%
    mpki                           |        70.02
  L2 TLB                           |             
    num accesses                   |     56015715
    num misses                     |     54533081
    miss rate                      |       97.35%
    mpki                           |        68.17
Cache Summary                      |             
  NUCA cache                       |             
    num cache accesses             |    320506473
    num cache misses               |     74495617
    miss rate                      |       23.24%
    mpki                           |        93.12
DRAM summary                       |             
  num dram accesses                |    309990112
  average dram access latency (ns) |         0.00
  average dram queueing delay      |         0.00
Coherency Traffic                  |             
  num loads from dram              |    244547643
  num loads from dram cache        |            0
  num loads from remote cache      |            0
