                                   | Core 0     
  Instructions                     |   799999994
  Cycles                           |  5916574040
  IPC                              |        0.14
  Time (ns)                        |  2275605400
  Idle time (ns)                   |          -5
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   268273686
  num incorrect                    |    33282796
  misprediction rate               |      11.04%
  mpki                             |       41.60
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |   128818521
    num misses                     |           2
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   277732016
    num misses                     |     5658393
    miss rate                      |       2.04%
    mpki                           |        7.07
  L2 TLB                           |            
    num accesses                   |     5658395
    num misses                     |     5433397
    miss rate                      |      96.02%
    mpki                           |        6.79
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |    91487559
    num cache misses               |    10235257
    miss rate                      |      11.19%
    mpki                           |       12.79
DRAM summary                       |            
  num dram accesses                |    86928140
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    43059921
  num loads from dram cache        |           0
  num loads from remote cache      |           0
