                                   | Core 0     
  Instructions                     |   799999893
  Cycles                           |  7617755860
  IPC                              |        0.11
  Time (ns)                        |  2929906100
  Idle time (ns)                   |         -81
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |    54601699
  num incorrect                    |     1990623
  misprediction rate               |       3.52%
  mpki                             |        2.49
TLB Summary                        |            
  I-TLB                            |            
    num accesses                   |    79181600
    num misses                     |          28
    miss rate                      |       0.00%
    mpki                           |        0.00
  D-TLB                            |            
    num accesses                   |   248608057
    num misses                     |    13165096
    miss rate                      |       5.30%
    mpki                           |       16.46
  L2 TLB                           |            
    num accesses                   |    13165124
    num misses                     |    11804270
    miss rate                      |      89.66%
    mpki                           |       14.76
Cache Summary                      |            
  NUCA cache                       |            
    num cache accesses             |   188568560
    num cache misses               |    15227755
    miss rate                      |       8.08%
    mpki                           |       19.03
DRAM summary                       |            
  num dram accesses                |   156971624
  average dram access latency (ns) |        0.00
  average dram queueing delay      |        0.00
Coherency Traffic                  |            
  num loads from dram              |    75151431
  num loads from dram cache        |           0
  num loads from remote cache      |           0
