                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   500000041 |   499999811 |   499999944 |   499999823
  Cycles                           |  1505623340 |  1505623340 |  1505623340 |  1505623340
  IPC                              |        0.33 |        0.33 |        0.33 |        0.33
  Time (ns)                        |   579085900 |   579085900 |   579085900 |   579085900
  Idle time (ns)                   |        -356 |        -232 |         -90 |        -101
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    65136063 |    65136062 |    65136059 |    65136062
  num incorrect                    |     1872220 |     1872219 |     1872219 |     1872219
  misprediction rate               |       2.79% |       2.79% |       2.79% |       2.79%
  mpki                             |        3.74 |        3.74 |        3.74 |        3.74
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    75746862 |    75746858 |    75746853 |    75746860
    num misses                     |          26 |          22 |          22 |          26
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   202715400 |   202715353 |   202715366 |   202715360
    num misses                     |     5728649 |     5990848 |     5722920 |     5804159
    miss rate                      |       2.83% |       2.96% |       2.82% |       2.86%
    mpki                           |       11.46 |       11.98 |       11.45 |       11.61
  L2 TLB                           |             |             |             |            
    num accesses                   |     5728675 |     5990870 |     5722942 |     5804185
    num misses                     |     5379233 |     5553505 |     5370410 |     5383495
    miss rate                      |      93.90% |      92.70% |      93.84% |      92.75%
    mpki                           |       10.76 |       11.11 |       10.74 |       10.77
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    24568021 |    26479783 |    23132360 |    27988063
    num cache misses               |     7046110 |     7599146 |     6627788 |     8334865
    miss rate                      |      28.68% |      28.70% |      28.65% |      29.78%
    mpki                           |       14.09 |       15.20 |       13.26 |       16.67
DRAM summary                       |             |             |             |            
  num dram accesses                |    46958761 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    10379179 |    10779628 |    10718746 |     9946420
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |    27798983 |    28463903 |    28323228 |    28106247
