                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    496633870 |    506609853 |    506691517 |    490075320
  Cycles                           |  20852783640 |  20852783640 |  20852783640 |  20852783640
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |   8020301400 |   8020301400 |   8020301400 |   8020301400
  Idle time (ns)                   |         -339 |          -84 |         -132 |         -395
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    107632013 |    109909074 |    109927950 |    106134368
  num incorrect                    |      9504414 |      9680700 |      9682038 |      9389375
  misprediction rate               |        8.11% |        8.09% |        8.09% |        8.13%
  mpki                             |        19.14 |        19.11 |        19.11 |        19.16
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     56112505 |     57211001 |     57219924 |     55390025
    num misses                     |           24 |           18 |           24 |           24
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    227859367 |    232416280 |    232453585 |    224861550
    num misses                     |     44871720 |     46221336 |     45894490 |     44505279
    miss rate                      |       19.69% |       19.89% |       19.74% |       19.79%
    mpki                           |        90.35 |        91.24 |        90.58 |        90.81
  L2 TLB                           |              |              |              |             
    num accesses                   |     44871744 |     46221354 |     45894514 |     44505303
    num misses                     |     41601906 |     43144460 |     42601642 |     41442867
    miss rate                      |       92.71% |       93.34% |       92.83% |       93.12%
    mpki                           |        83.77 |        85.16 |        84.08 |        84.56
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    243872984 |    256029611 |    218624841 |    238668790
    num cache misses               |     77007613 |     78077559 |     78218633 |     77919297
    miss rate                      |       31.58% |       30.50% |       35.78% |       32.65%
    mpki                           |       154.01 |       156.15 |       156.44 |       155.84
DRAM summary                       |              |              |              |             
  num dram accesses                |    824883006 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    169564474 |    175329295 |    174568678 |    168962153
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |      5073287 |      5149016 |      5144700 |      5023983
