                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    497918210 |    507884141 |    504509997 |    489704267
  Cycles                           |  23945877540 |  23945877540 |  23945877540 |  23945877540
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |   9209952900 |   9209952900 |   9209952900 |   9209952900
  Idle time (ns)                   |          -21 |         -287 |          -24 |          -26
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     97263824 |     99299579 |     98610290 |     95585042
  num incorrect                    |     11871124 |     12164517 |     12065190 |     11630714
  misprediction rate               |       10.88% |       10.91% |       10.90% |       10.85%
  mpki                             |        23.84 |        23.95 |        23.91 |        23.75
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     76754501 |     78208885 |     77716838 |     75548898
    num misses                     |           22 |           16 |           16 |           22
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    246782683 |    251570066 |    249949352 |    242835992
    num misses                     |     37635762 |     38288977 |     37904210 |     36942143
    miss rate                      |       15.25% |       15.22% |       15.16% |       15.21%
    mpki                           |        75.59 |        75.39 |        75.13 |        75.44
  L2 TLB                           |              |              |              |             
    num accesses                   |     37635784 |     38288993 |     37904226 |     36942165
    num misses                     |     35272834 |     35535480 |     35265785 |     34509303
    miss rate                      |       93.72% |       92.81% |       93.04% |       93.41%
    mpki                           |        70.84 |        69.97 |        69.90 |        70.47
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    260388723 |    264410155 |    190569891 |    270227908
    num cache misses               |     64507583 |     65877363 |     64947387 |     64320698
    miss rate                      |       24.77% |       24.91% |       34.08% |       23.80%
    mpki                           |       129.01 |       131.75 |       129.89 |       128.64
DRAM summary                       |              |              |              |             
  num dram accesses                |    775717098 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    144103574 |    147066428 |    145196377 |    142411764
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     14663793 |     14828510 |     14779689 |     14477548
