                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    493439783 |    505998189 |    511953562 |    488620574
  Cycles                           |  22676748640 |  22676748640 |  22676748640 |  22676748640
  IPC                              |         0.02 |         0.02 |         0.02 |         0.02
  Time (ns)                        |   8721826400 |   8721826400 |   8721826400 |   8721826400
  Idle time (ns)                   |          -77 |         -122 |         -109 |         -251
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |    106096969 |    108850850 |    110131583 |    105403535
  num incorrect                    |      7051290 |      7182321 |      7251608 |      7025453
  misprediction rate               |        6.23% |        6.19% |        6.18% |        6.25%
  mpki                             |        14.29 |        14.19 |        14.16 |        14.38
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     51602051 |     52929737 |     53540313 |     50966653
    num misses                     |           27 |           27 |           27 |           27
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    197021755 |    201948711 |    204303970 |    194534999
    num misses                     |     34340947 |     37778283 |     37312620 |     36730803
    miss rate                      |       17.43% |       18.71% |       18.26% |       18.88%
    mpki                           |        69.60 |        74.66 |        72.88 |        75.17
  L2 TLB                           |              |              |              |             
    num accesses                   |     34340974 |     37778310 |     37312647 |     36730830
    num misses                     |     29951370 |     31838985 |     31319425 |     30604172
    miss rate                      |       87.22% |       84.28% |       83.94% |       83.32%
    mpki                           |        60.70 |        62.92 |        61.18 |        62.63
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    232226359 |    207202251 |    211766993 |    239295700
    num cache misses               |     61451335 |     65487066 |     63083869 |     62570429
    miss rate                      |       26.46% |       31.61% |       29.79% |       26.15%
    mpki                           |       122.90 |       130.97 |       126.17 |       125.14
DRAM summary                       |              |              |              |             
  num dram accesses                |    726085431 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    138518427 |    142898064 |    143293566 |    138723507
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |     14101537 |     14167772 |     14214925 |     14063056
