                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   497979804 |   503042252 |   499706620 |   499283044
  Cycles                           |  6425317080 |  6425317080 |  6425317080 |  6425317080
  IPC                              |        0.08 |        0.08 |        0.08 |        0.08
  Time (ns)                        |  2471275800 |  2471275800 |  2471275800 |  2471275800
  Idle time (ns)                   |         -26 |        -104 |        -101 |        -103
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |    38784426 |    39175711 |    38917894 |    38885155
  num incorrect                    |       55922 |       55922 |       55922 |       55922
  misprediction rate               |       0.14% |       0.14% |       0.14% |       0.14%
  mpki                             |        0.11 |        0.11 |        0.11 |        0.11
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |      612251 |      618317 |      614321 |      613813
    num misses                     |           1 |           1 |           1 |           1
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   152435278 |   153988286 |   152965012 |   152835078
    num misses                     |    39934932 |    40191160 |    40073736 |    39925179
    miss rate                      |      26.20% |      26.10% |      26.20% |      26.12%
    mpki                           |       80.19 |       79.90 |       80.19 |       79.97
  L2 TLB                           |             |             |             |            
    num accesses                   |    39934933 |    40191161 |    40073737 |    39925180
    num misses                     |    35984154 |    35607625 |    35965592 |    35500780
    miss rate                      |      90.11% |      88.60% |      89.75% |      88.92%
    mpki                           |       72.26 |       70.78 |       71.97 |       71.10
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |   207770059 |   207139471 |   209236983 |   205526505
    num cache misses               |    67379823 |    67243132 |    67841304 |    67378923
    miss rate                      |      32.43% |      32.46% |      32.42% |      32.78%
    mpki                           |      134.76 |      134.49 |      135.68 |      134.76
DRAM summary                       |             |             |             |            
  num dram accesses                |   711512478 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |   110521964 |   110454244 |   110604208 |   109696759
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |     3664250 |     3383848 |     3650481 |     3636885
