                                   | Core 0       | Core 1       | Core 2       | Core 3      
  Instructions                     |    487925638 |    514033041 |    512059799 |    485995040
  Cycles                           |  13754804700 |  13754804700 |  13754804700 |  13754804700
  IPC                              |         0.04 |         0.04 |         0.04 |         0.04
  Time (ns)                        |   5290309500 |   5290309500 |   5290309500 |   5290309500
  Idle time (ns)                   |         -276 |         -100 |          -24 |         -101
  Idle time (%)                    |        -0.0% |        -0.0% |        -0.0% |        -0.0%
Branch predictor stats             |              |              |              |             
  num correct                      |     94026816 |     99296555 |     98896377 |     93639232
  num incorrect                    |      2408141 |      2483987 |      2478334 |      2402118
  misprediction rate               |        2.50% |        2.44% |        2.44% |        2.50%
  mpki                             |         4.94 |         4.83 |         4.84 |         4.94
TLB Summary                        |              |              |              |             
  I-TLB                            |              |              |              |             
    num accesses                   |     60013390 |     63154310 |     62916502 |     59781356
    num misses                     |           14 |           17 |           14 |           14
    miss rate                      |        0.00% |        0.00% |        0.00% |        0.00%
    mpki                           |         0.00 |         0.00 |         0.00 |         0.00
  D-TLB                            |              |              |              |             
    num accesses                   |    208566308 |    219681739 |    218839696 |    207744162
    num misses                     |     33255898 |     34562839 |     34972451 |     33546022
    miss rate                      |       15.95% |       15.73% |       15.98% |       16.15%
    mpki                           |        68.16 |        67.24 |        68.30 |        69.03
  L2 TLB                           |              |              |              |             
    num accesses                   |     33255912 |     34562856 |     34972465 |     33546036
    num misses                     |     32290433 |     33661850 |     34065255 |     32654136
    miss rate                      |       97.10% |       97.39% |       97.41% |       97.34%
    mpki                           |        66.18 |        65.49 |        66.53 |        67.19
Cache Summary                      |              |              |              |             
  NUCA cache                       |              |              |              |             
    num cache accesses             |    181792672 |    172162605 |    195072468 |    202664197
    num cache misses               |     44751303 |     44704757 |     44932831 |     44922482
    miss rate                      |       24.62% |       25.97% |       23.03% |       22.17%
    mpki                           |        89.50 |        89.41 |        89.87 |        89.84
DRAM summary                       |              |              |              |             
  num dram accesses                |    619987238 |            0 |            0 |            0
  average dram access latency (ns) |         0.00 |          inf |          inf |          inf
  average dram queueing delay      |         0.00 |         0.00 |         0.00 |         0.00
Coherency Traffic                  |              |              |              |             
  num loads from dram              |    124098187 |    130686603 |    130671735 |    124137956
  num loads from dram cache        |            0 |            0 |            0 |            0
  num loads from remote cache      |      2986858 |      2878164 |      2865260 |      2951405
