                                   | Core 0      | Core 1      | Core 2      | Core 3     
  Instructions                     |   494938121 |   511786762 |   508789963 |   484501171
  Cycles                           |  4359306900 |  4359306900 |  4359306900 |  4359306900
  IPC                              |        0.11 |        0.12 |        0.12 |        0.11
  Time (ns)                        |  1676656500 |  1676656500 |  1676656500 |  1676656500
  Idle time (ns)                   |        -100 |        -101 |          -5 |        -101
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |            
  num correct                      |   165999671 |   171645658 |   170639933 |   162504791
  num incorrect                    |    20573424 |    21279842 |    21156081 |    20133085
  misprediction rate               |      11.03% |      11.03% |      11.03% |      11.02%
  mpki                             |       41.57 |       41.58 |       41.58 |       41.55
TLB Summary                        |             |             |             |            
  I-TLB                            |             |             |             |            
    num accesses                   |    79616509 |    82368912 |    81901554 |    77887258
    num misses                     |           2 |           2 |           2 |           2
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |            
    num accesses                   |   171841443 |   177682518 |   176639618 |   168227325
    num misses                     |     3513943 |     3612335 |     3595247 |     3437012
    miss rate                      |       2.04% |       2.03% |       2.04% |       2.04%
    mpki                           |        7.10 |        7.06 |        7.07 |        7.09
  L2 TLB                           |             |             |             |            
    num accesses                   |     3513945 |     3612337 |     3595249 |     3437014
    num misses                     |     3404768 |     3478788 |     3462150 |     3312554
    miss rate                      |      96.89% |      96.30% |      96.30% |      96.38%
    mpki                           |        6.88 |        6.80 |        6.80 |        6.84
Cache Summary                      |             |             |             |            
  NUCA cache                       |             |             |             |            
    num cache accesses             |    58828443 |    58952610 |    59262179 |    50746490
    num cache misses               |     6343266 |     6319753 |     6415860 |     6415182
    miss rate                      |      10.78% |      10.72% |      10.83% |      12.64%
    mpki                           |       12.69 |       12.64 |       12.83 |       12.83
DRAM summary                       |             |             |             |            
  num dram accesses                |   192423998 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |            
  num loads from dram              |    23148288 |    23727731 |    23725038 |    22691919
  num loads from dram cache        |           0 |           0 |           0 |           0
  num loads from remote cache      |      611576 |      655851 |      650550 |      590984
