                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   123748004 |   124613846 |   127009997 |   125445608 |   125376648 |   126480715 |   124132055 |   123221668
  Cycles                           |  1716219180 |  1716219180 |  1716219180 |  1716219180 |  1716219180 |  1716219180 |  1716219180 |  1716219180
  IPC                              |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07 |        0.07
  Time (ns)                        |   660084300 |   660084300 |   660084300 |   660084300 |   660084300 |   660084300 |   660084300 |   660084300
  Idle time (ns)                   |        -140 |        -104 |         -32 |        -152 |        -139 |        -164 |        -147 |        -117
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    14141850 |    14259650 |    14585653 |    14372811 |    14363431 |    14513641 |    14194101 |    14070242
  num incorrect                    |         644 |         648 |         656 |         650 |         650 |         654 |         648 |         644
  misprediction rate               |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
  mpki                             |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    15124005 |    15265401 |    15656716 |    15401240 |    15389974 |    15570286 |    15186717 |    15038041
    num misses                     |          26 |          26 |          26 |          26 |          26 |          22 |          22 |          26
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    55707631 |    56048046 |    56990130 |    56375073 |    56347954 |    56782041 |    55858622 |    55500698
    num misses                     |      177477 |      187642 |      204807 |      195858 |      191604 |      197830 |      190751 |      179925
    miss rate                      |       0.32% |       0.33% |       0.36% |       0.35% |       0.34% |       0.35% |       0.34% |       0.32%
    mpki                           |        1.43 |        1.51 |        1.61 |        1.56 |        1.53 |        1.56 |        1.54 |        1.46
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |      177503 |      187668 |      204833 |      195884 |      191630 |      197852 |      190773 |      179951
    num misses                     |      172911 |      185606 |      200575 |      191758 |      187932 |      193283 |      185799 |      176318
    miss rate                      |      97.41% |      98.90% |      97.92% |      97.89% |      98.07% |      97.69% |      97.39% |      97.98%
    mpki                           |        1.40 |        1.49 |        1.58 |        1.53 |        1.50 |        1.53 |        1.50 |        1.43
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    33430270 |    27821418 |    17188011 |    29589591 |    21097762 |    26554110 |    22170968 |    26391480
    num cache misses               |      210852 |      210789 |      213191 |      213819 |      211103 |      211501 |      210823 |      211357
    miss rate                      |       0.63% |       0.76% |       1.24% |       0.72% |       1.00% |       0.80% |       0.95% |       0.80%
    mpki                           |        1.69 |        1.69 |        1.71 |        1.71 |        1.69 |        1.69 |        1.69 |        1.69
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   119365972 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |     2617104 |     2627640 |     2776650 |     2629488 |     2610305 |     2716287 |     2572312 |     2516757
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     1553315 |     1594464 |     1625729 |     1636986 |     1622472 |     1631084 |     1568283 |     1531929
