                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   122391753 |   122789872 |   125937148 |   127059996 |   127414397 |   126837644 |   125227809 |   122380966
  Cycles                           |  9823524100 |  9823524100 |  9823524100 |  9823524100 |  9823524100 |  9823524100 |  9823524100 |  9823524100
  IPC                              |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Time (ns)                        |  3778278500 |  3778278500 |  3778278500 |  3778278500 |  3778278500 |  3778278500 |  3778278500 |  3778278500
  Idle time (ns)                   |         -75 |         -20 |        -283 |        -102 |        -111 |         -49 |          -1 |        -137
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    22408995 |    22485055 |    23086288 |    23300824 |    23368569 |    23258435 |    22950867 |    22406942
  num incorrect                    |     2052885 |     2061491 |     2131091 |     2155947 |     2163827 |     2150894 |     2115281 |     2052642
  misprediction rate               |       8.39% |       8.40% |       8.45% |       8.47% |       8.47% |       8.46% |       8.44% |       8.39%
  mpki                             |       16.77 |       16.79 |       16.92 |       16.97 |       16.98 |       16.96 |       16.89 |       16.77
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    18298266 |    18361670 |    18861876 |    19040522 |    19096768 |    19005185 |    18749172 |    18296578
    num misses                     |          22 |          22 |          16 |          16 |          22 |          22 |          22 |          16
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    63297694 |    63496579 |    65065799 |    65625443 |    65801988 |    65514670 |    64712182 |    63292286
    num misses                     |     7991445 |     8128586 |     8308462 |     8365178 |     8420106 |     8419546 |     8220196 |     8097899
    miss rate                      |      12.63% |      12.80% |      12.77% |      12.75% |      12.80% |      12.85% |      12.70% |      12.79%
    mpki                           |       65.29 |       66.20 |       65.97 |       65.84 |       66.08 |       66.38 |       65.64 |       66.17
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     7991467 |     8128608 |     8308478 |     8365194 |     8420128 |     8419568 |     8220218 |     8097915
    num misses                     |     7326760 |     7569952 |     7651617 |     7663424 |     7778289 |     7821368 |     7557394 |     7516486
    miss rate                      |      91.68% |      93.13% |      92.09% |      91.61% |      92.38% |      92.90% |      91.94% |      92.82%
    mpki                           |       59.86 |       61.65 |       60.76 |       60.31 |       61.05 |       61.66 |       60.35 |       61.42
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    54801604 |    56452292 |    44518115 |    64126199 |    72597909 |    68226915 |    42965502 |    73176788
    num cache misses               |    13926669 |    13896156 |    13698114 |    13731148 |    13683363 |    14358716 |    14339252 |    14079225
    miss rate                      |      25.41% |      24.62% |      30.77% |      21.41% |      18.85% |      21.05% |      33.37% |      19.24%
    mpki                           |      111.41 |      111.16 |      109.58 |      109.84 |      109.46 |      114.87 |      114.71 |      112.63
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   355163209 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    30539274 |    31071493 |    31868811 |    31805352 |    32085477 |    32273590 |    31384253 |    31112803
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     3374686 |     3360483 |     3434633 |     3484878 |     3522071 |     3450261 |     3376190 |     3309708
