                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   121568370 |   123142439 |   125490182 |   126693851 |   127552811 |   128098431 |   125643143 |   121839988
  Cycles                           |  9744915180 |  9744915180 |  9744915180 |  9744915180 |  9744915180 |  9744915180 |  9744915180 |  9744915180
  IPC                              |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Time (ns)                        |  3748044300 |  3748044300 |  3748044300 |  3748044300 |  3748044300 |  3748044300 |  3748044300 |  3748044300
  Idle time (ns)                   |        -320 |        -162 |        -522 |        -197 |        -556 |        -498 |        -392 |         -22
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    22252065 |    22552335 |    23000834 |    23230882 |    23394985 |    23499037 |    23030107 |    22304006
  num incorrect                    |     2034696 |     2069305 |     2121195 |     2147748 |     2166893 |     2179072 |     2124592 |     2040631
  misprediction rate               |       8.38% |       8.40% |       8.44% |       8.46% |       8.48% |       8.49% |       8.45% |       8.38%
  mpki                             |       16.74 |       16.80 |       16.90 |       16.95 |       16.99 |       17.01 |       16.91 |       16.75
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    18167687 |    18417595 |    18790862 |    18982246 |    19118738 |    19205282 |    18815166 |    18210795
    num misses                     |          22 |          16 |          22 |          16 |          22 |          22 |          22 |          22
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    62886745 |    63672342 |    64842997 |    65443025 |    65870978 |    66143180 |    64919214 |    63022210
    num misses                     |     7957797 |     8108024 |     8262408 |     8344833 |     8367036 |     8409827 |     8218988 |     8062169
    miss rate                      |      12.65% |      12.73% |      12.74% |      12.75% |      12.70% |      12.71% |      12.66% |      12.79%
    mpki                           |       65.46 |       65.84 |       65.84 |       65.87 |       65.60 |       65.65 |       65.42 |       66.17
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     7957819 |     8108040 |     8262430 |     8344849 |     8367058 |     8409849 |     8219010 |     8062191
    num misses                     |     7311464 |     7467881 |     7616961 |     7662533 |     7674013 |     7717882 |     7493446 |     7509555
    miss rate                      |      91.88% |      92.10% |      92.19% |      91.82% |      91.72% |      91.77% |      91.17% |      93.15%
    mpki                           |       60.14 |       60.64 |       60.70 |       60.48 |       60.16 |       60.25 |       59.64 |       61.63
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    55000172 |    56305502 |    44670140 |    63876145 |    72489549 |    68080873 |    42754046 |    73207848
    num cache misses               |    14098772 |    13765864 |    13843388 |    13487469 |    13591172 |    14214763 |    14126983 |    14079742
    miss rate                      |      25.63% |      24.45% |      30.99% |      21.12% |      18.75% |      20.88% |      33.04% |      19.23%
    mpki                           |      112.79 |      110.12 |      110.74 |      107.90 |      108.73 |      113.71 |      113.01 |      112.63
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   354624954 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    30637867 |    30919759 |    31726929 |    31787106 |    32150184 |    32093369 |    31308139 |    31056913
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     3327568 |     3367579 |     3431025 |     3454101 |     3521624 |     3464638 |     3391811 |     3268140
