                                   | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7     
  Instructions                     |   121189989 |   123341223 |   125814938 |   125839787 |   126556196 |   127433081 |   125696635 |   124166806
  Cycles                           |  9809223060 |  9809223060 |  9809223060 |  9809223060 |  9809223060 |  9809223060 |  9809223060 |  9809223060
  IPC                              |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01 |        0.01
  Time (ns)                        |  3772778100 |  3772778100 |  3772778100 |  3772778100 |  3772778100 |  3772778100 |  3772778100 |  3772778100
  Idle time (ns)                   |         -18 |        -677 |        -442 |        -752 |       -1096 |        -406 |        -293 |       -1213
  Idle time (%)                    |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0% |       -0.0%
Branch predictor stats             |             |             |             |             |             |             |             |            
  num correct                      |    26449527 |    26916093 |    27440360 |    27446042 |    27593053 |    27779280 |    27416402 |    27092111
  num incorrect                    |     1680614 |     1713218 |     1753028 |     1753370 |     1765450 |     1778908 |     1750975 |     1726353
  misprediction rate               |       5.97% |       5.98% |       6.00% |       6.00% |       6.01% |       6.02% |       6.00% |       5.99%
  mpki                             |       13.87 |       13.89 |       13.93 |       13.93 |       13.95 |       13.96 |       13.93 |       13.90
TLB Summary                        |             |             |             |             |             |             |             |            
  I-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    12865978 |    13090613 |    13347884 |    13350554 |    13424437 |    13515405 |    13335793 |    13176505
    num misses                     |          26 |          26 |          29 |          29 |          29 |          29 |          29 |          29
    miss rate                      |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
    mpki                           |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  D-TLB                            |             |             |             |             |             |             |             |            
    num accesses                   |    47590370 |    48437553 |    49420719 |    49430283 |    49718986 |    50068171 |    49372915 |    48764904
    num misses                     |     9640273 |     9390190 |     9822426 |     9700041 |     9324856 |     9541191 |     9224929 |     8920647
    miss rate                      |      20.26% |      19.39% |      19.88% |      19.62% |      18.76% |      19.06% |      18.68% |      18.29%
    mpki                           |       79.55 |       76.13 |       78.07 |       77.08 |       73.68 |       74.87 |       73.39 |       71.84
  L2 TLB                           |             |             |             |             |             |             |             |            
    num accesses                   |     9640299 |     9390216 |     9822455 |     9700070 |     9324885 |     9541220 |     9224958 |     8920676
    num misses                     |     8048039 |     7697801 |     8123890 |     8124954 |     7904536 |     8186468 |     7883704 |     7488167
    miss rate                      |      83.48% |      81.98% |      82.71% |      83.76% |      84.77% |      85.80% |      85.46% |      83.94%
    mpki                           |       66.41 |       62.41 |       64.57 |       64.57 |       62.46 |       64.24 |       62.72 |       60.31
Cache Summary                      |             |             |             |             |             |             |             |            
  NUCA cache                       |             |             |             |             |             |             |             |            
    num cache accesses             |    51484127 |    46829592 |    37177554 |    61864476 |    62981775 |    57610400 |    66315218 |    58369981
    num cache misses               |    14907359 |    16188882 |    15821905 |    16512677 |    15806695 |    16035025 |    16739036 |    15557833
    miss rate                      |      28.96% |      34.57% |      42.56% |      26.69% |      25.10% |      27.83% |      25.24% |      26.65%
    mpki                           |      119.25 |      129.51 |      126.57 |      132.10 |      126.45 |      128.28 |      133.91 |      124.46
DRAM summary                       |             |             |             |             |             |             |             |            
  num dram accesses                |   352332367 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns) |        0.00 |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay      |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
Coherency Traffic                  |             |             |             |             |             |             |             |            
  num loads from dram              |    33989623 |    33885576 |    34900767 |    34844064 |    34700494 |    35319928 |    34631394 |    33702369
  num loads from dram cache        |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache      |     2941864 |     3021840 |     3053506 |     3097323 |     3096515 |     3058730 |     3038881 |     2979052
